,portfolio
0,100197.57907546767
1,99351.2467159897
2,98041.6279878195
3,97706.18436050152
4,96108.67419464252
5,95932.91421247157
6,96092.69279335339
7,95629.2706180277
8,95357.58321158716
9,96748.04946073439
10,98186.55640713553
11,98314.42520976427
12,97451.21008548957
13,96763.80588957413
14,97275.38229505673
15,97563.15336938729
16,98314.58231393641
17,98154.69198196944
18,97435.19507844567
19,96587.7570830355
20,94940.81013446004
21,95836.25877550077
22,94860.83651458607
23,94700.9359176393
24,92382.2566155218
25,92718.07654126217
26,93997.3829649755
27,93213.79695139598
28,96044.3139104303
29,94796.954311909
30,95084.80955144676
31,96684.00274631038
32,98011.3509286524
33,95276.68473754653
34,95340.65276638349
35,96140.26735537699
36,97099.81312629372
37,97739.5160084642
38,97323.70867314265
39,96971.8698175723
40,97115.80439531864
41,95900.35258400759
42,96620.0299834121
43,96332.1581717275
44,95148.69904574468
45,93949.24279094567
46,93245.5451092627
47,92957.68145445804
48,94556.96289231777
49,95244.65781911521
50,93421.45935855778
51,94716.8956141932
52,94301.07835109906
53,93165.57282198546
54,92861.71206056712
55,92845.71670894769
56,92893.69262654282
57,93821.29144558932
58,92685.78282250698
59,91902.12120114655
60,92893.69252119552
61,94572.96420132685
62,96811.98379035389
63,97099.86021107851
64,97035.89870761232
65,98027.46134511344
66,98299.34258619728
67,99530.8061071735
68,98651.1905808351
69,99834.678306735
70,98923.07182849999
71,99434.85391495221
72,97387.74526211181
73,95772.43178801877
74,95324.63105103395
75,94221.10956617202
76,94700.90110590923
77,95116.72112886509
78,95164.69729443168
79,94748.8871870507
80,95532.54121712643
81,95196.68804864459
82,94796.86330986403
83,94061.17540583869
84,94668.92019977418
85,95436.58893748549
86,94061.17535317455
87,93181.55882739954
88,93661.35057206822
89,94301.07623163899
90,94285.08084626483
91,94285.08084512407
92,93229.54492166647
93,93085.60639046894
94,93901.24145932255
95,94508.98636045343
96,93661.35054021848
97,93261.52570463507
98,93933.23222849087
99,93853.26526682664
100,92957.66320128592
101,93661.35054109372
102,93469.43581077456
103,92861.70084693053
104,93053.61557800123
105,93261.52569552128
106,93789.30366711211
107,95276.65530492023
108,95036.76437947307
109,94253.10009221872
110,93757.31288774381
111,93117.58714014167
112,93885.25604492072
113,81362.68255473668
114,76948.58384799396
115,76836.64604299125
116,74517.65389604997
117,74133.8144581194
118,74021.85672082947
119,72822.38214438704
120,73222.20700345501
121,72038.72781137226
122,72054.71323157677
123,72054.7132315376
124,70279.48447425228
125,71558.92602050849
126,69351.88162852678
127,68856.09441622584
128,68888.08518873622
129,68424.27878266049
130,66904.93633772933
131,67704.59602608482
132,66888.95091718566
133,68024.45392215822
134,65641.49017364488
135,66265.22054539404
136,67473.51501612138
137,66281.55477457156
138,71375.96073723292
139,70396.265749529
140,69939.07674841148
141,68910.39900431671
142,68649.15099390785
143,67440.85652225486
144,68812.43349200358
145,71261.67096244474
146,73547.62593498021
147,71441.27772379204
148,71767.84271989588
149,71245.3367329077
150,70624.86523345101
151,69400.24649791814
152,68926.72326710795
153,67391.8737647383
154,67816.40427336603
155,66853.04351423169
156,66706.08527955957
157,66118.27227280986
158,64909.97780050563
159,65905.99705251936
160,65889.67278909756
161,64289.506300880814
162,63424.111054118606
163,65644.74904197849
164,64534.43004803795
165,64273.172071478875
166,62297.457830730105
167,62934.26355975423
168,59831.89609561405
169,60093.14410620632
170,61546.36232581322
171,61219.797329582725
172,58933.84235596147
173,60240.102340892525
174,60615.6500933668
175,61268.78008583642
176,62444.416065479556
177,63750.67605042552
178,63930.28281196676
179,64338.48905726391
180,62509.72308513448
181,63620.042079151965
182,64060.906817269504
183,65171.22581128988
184,64583.41280444682
185,66101.93804376996
186,64746.69530256575
187,64681.37831692839
188,63473.09381041976
189,64207.86505196279
190,64403.80604290224
191,68257.26901216547
