,portfolio
0,71821.08337251643
1,71308.91085760931
2,71341.94990317959
3,70862.58768170244
4,69291.99901313096
5,70118.76832687664
6,69275.30713112498
7,70449.69002411509
8,67984.77019112812
9,68630.02381439706
10,69880.16219941441
11,68646.78770893672
12,73918.64574356774
13,72904.74181889657
14,72431.55358901288
15,71366.81654327323
16,71096.39251149698
17,69845.60687929268
18,71265.47791647118
19,73801.06375870091
20,76167.6970703377
21,73986.93551823005
22,74325.04511627334
23,73784.04847893598
24,73141.60459895575
25,71873.59330461868
26,71383.28097019288
27,69793.9866070489
28,70233.58219036335
29,69236.01705049133
30,69083.83825626834
31,68475.13889202077
32,67223.89789173262
33,68255.32808041865
34,68238.42273111509
35,66581.33645401955
36,65685.15118814567
37,67984.81174153164
38,66834.97405746633
39,66564.41562032423
40,64518.36051291579
41,65177.84093222687
42,61964.99310625922
43,62235.545391775326
44,63740.52577314235
45,63402.32761818951
46,61034.935095830646
47,62387.73406502299
48,62776.66249712446
49,63453.06483438869
50,64670.5934003307
51,66023.4027966684
52,66209.41015026286
53,66632.16416466032
54,64738.22158217017
55,65888.113071732
56,66344.69090771073
57,67494.58441514106
58,66885.8197859513
59,68458.47123187967
60,67054.92142591222
61,66987.27617672044
62,65735.92160206976
63,66496.88452315402
64,66699.81009619682
65,70690.63682298452
