,portfolio
0,99596.10930132924
1,99521.6236467823
2,99524.09594272425
3,99517.64672399501
4,99514.25354330771
5,99482.94675293582
6,99482.71034506254
7,99489.10080795464
8,99488.50999172167
9,99494.15818023491
10,99500.63683759652
11,99501.88582055234
12,99497.35609133389
13,99495.92679172687
14,99496.92062958062
15,99497.87749368613
16,99497.91180647907
17,99497.96999159294
18,99497.9473135202
19,99497.3995612415
20,99497.0885543173
21,99497.13734926657
22,99497.2698396235
23,99497.38138082538
24,99497.17458475218
25,99497.01067570092
26,99487.03090797321
27,99609.93768150959
28,99681.71420787339
29,99790.50973915996
30,100048.08338166306
31,100112.98920762769
32,100124.6576810908
33,100130.43729324007
34,100171.23774886737
35,100140.62312270312
36,100145.49762992015
37,100145.49894829578
38,100143.10261993318
39,100144.82643013311
40,100135.99893706836
41,100128.1049879751
42,100129.76544229688
43,100128.59607619363
44,100128.02404272696
45,100128.02540838972
46,100128.66176570702
47,100129.3280072337
48,100129.72658316119
49,100129.60169303177
50,100129.97774581447
51,100130.1228250164
52,100129.99647882541
53,100129.94266414389
54,100120.13413467845
55,100138.19383734622
56,100273.26279112168
57,100399.98403444556
58,100412.58901074671
59,100503.10746170364
60,100699.89928285248
61,100689.86826821673
62,100699.91344242799
63,100678.70726440528
64,100702.2390164742
65,100703.97299766961
66,100705.67267626137
67,100714.65909095522
68,100707.21071426877
69,100703.50172051895
70,100702.14957454058
71,100701.90650156164
72,100701.35325669678
73,100700.10375254483
74,100699.97718333494
75,100699.5484111044
76,100700.30579019627
77,100700.58977678034
78,100700.74274278195
79,100700.80956994776
80,100700.76899683282
81,100700.87761214955
82,100690.7387211633
83,101599.590975837
84,101744.84053548811
85,101675.74231603349
86,101843.74391273526
87,101791.81821748486
88,101639.85912742626
89,101554.23707798951
90,101596.8980300956
91,101596.74190240215
92,101575.69060407375
93,101583.32699750914
94,101601.7734865818
95,101596.81652990244
96,101593.18405883932
97,101590.3591329101
98,101592.28007174717
99,101593.8627970944
100,101593.0712200123
101,101591.8649647136
102,101590.99352846944
103,101589.4311738846
104,101589.88920217867
