,portfolio
0,99962.34544128657
1,99938.50828005598
2,99972.47466001991
3,99953.17191330678
4,99890.54025574555
5,99902.56092011747
6,99902.37880202089
7,99894.04095558837
8,99894.21965806813
9,99902.1121811834
10,99899.34101938273
11,99897.17467880448
12,99903.15819825047
13,99905.2727707391
14,99905.37791997993
15,99905.41010784241
16,99904.93741134998
17,99904.34155611176
18,99904.72530526583
19,99904.65288542007
20,99904.73364207968
21,99904.40063950185
22,99904.52208660451
23,99894.70691326466
24,99796.01668708783
25,99728.02917062829
26,99719.43588792326
27,99591.92402758857
28,99569.8679802935
29,99495.120527624
30,99517.25704098592
31,99484.84804803424
32,99441.44740363338
33,99454.5282425429
34,99438.78616498737
35,99427.99818432164
36,99419.35061947166
37,99421.58877533693
38,99424.03825635689
39,99424.52513439473
40,99422.17462152525
41,99421.82218844944
42,99419.96713957055
43,99421.3555556702
44,99421.78141796342
45,99421.39911559118
46,99420.66632334157
47,99420.77749155811
48,99420.83832565219
49,99420.89841686981
50,99420.9407597803
51,99411.23251234618
52,99094.53406533654
53,99168.42709571395
54,99110.28720050504
55,99277.98429830123
56,99238.02637141102
57,99277.65900761323
58,99247.38529110745
59,99262.05250533637
60,99241.59327942712
61,99222.96390013638
62,99223.79443788104
63,99233.26437551282
64,99234.57414853295
65,99238.18020315217
