,portfolio
0,166633.15117188302
1,184482.21564132514
2,175234.67634996277
3,178257.05229371093
4,182996.9981248065
5,174963.64466985653
6,177636.93959222973
7,212960.4320213469
8,227696.7769106575
9,235084.32356365182
10,215750.17937639586
11,238958.88827534253
12,239927.46038185037
13,245429.32016428866
14,253514.61448411533
15,233896.10806513816
16,232255.82778310165
17,238571.47324522768
18,240909.086765067
19,226017.74821020433
20,232023.40639362024
21,224209.62722186695
22,251357.61967034845
23,218940.2578964339
24,226792.71640803435
25,231623.006158002
26,237874.07093776064
27,236311.28747525418
28,240767.0092628635
29,215310.96164247493
30,203700.18365114141
31,217545.31513974007
32,231119.2768292745
33,245571.60488020547
34,239940.37651834157
35,242110.21840267722
36,241993.97317296726
37,233663.68667599867
38,239010.5528211605
39,267488.76920336974
40,292893.1522773312
41,280236.1672185706
42,307849.0715165248
43,319150.0694394176
44,314681.29337464855
45,322675.89845962333
46,318401.00258486945
47,304077.97404076334
48,304336.0895627039
49,339427.0916207557
50,318956.32738990115
51,341390.34438919125
52,394433.2568236331
53,392909.42898176634
54,420974.19085118006
55,451919.320260324
56,422937.3054791166
57,427018.52837460337
58,440450.48163143196
59,453391.75983665045
60,445410.1399585594
61,419773.1973549249
62,424177.25459602335
63,429330.44776191935
64,420444.83645991597
65,427070.6073426374
66,433786.0314090566
67,429718.0700014513
68,413612.68367204105
69,412592.2398076706
70,442232.9084869852
71,438397.02311730344
72,435090.6302793847
73,436769.58990136365
74,472997.3501237455
75,478459.1491638806
76,480305.9494918579
77,506238.23648185015
78,547659.5268957672
79,551912.18215022
80,591799.0079038654
81,569326.0352839238
82,550078.5051696254
83,559155.993624412
84,582175.3119169655
85,613621.476915127
86,592449.373372047
87,598418.5624641426
88,594881.1987122901
89,619811.8289457437
90,621034.3723598063
91,612476.9828828665
92,597521.063643672
93,600226.1308904709
94,578585.7310565804
95,588651.6147800242
96,641634.436097504
97,641374.4556788299
98,643767.3253984217
99,649294.6030349712
100,642362.7128069884
101,649788.8697395491
102,651401.521922121
103,644092.6462730112
104,620332.2042045883
105,627511.2277848598
106,621762.9253502882
107,632140.86846044
108,633623.530433675
109,650191.9637149426
110,667761.91561225
111,690559.7946852848
112,688231.9891406108
113,692393.6098063783
114,692900.8617178398
115,671182.1362211503
116,674030.4551651673
117,647838.0496160022
118,650725.0478996732
119,638513.4278089268
120,566712.2789068085
121,549948.5149602884
122,499423.4893968194
123,424605.07572069555
124,462111.7406806355
125,445140.2134239744
