,portfolio
0,98208.32868595925
1,97380.046606083
2,97342.05201439082
3,95092.77220736202
4,93390.61450753982
5,90594.21256235642
6,87744.61818100882
7,88481.71326238102
8,86847.94581094029
9,89872.31532912591
10,92068.40274503139
11,91977.21572419515
12,91506.08278317637
13,91361.70333344131
14,92638.3216259458
15,94659.63392283984
16,94006.12693952025
17,93329.82320089507
18,91916.42437624233
19,92889.08593304733
20,92775.10215684984
21,90791.78445099757
22,91354.10441358939
23,92076.00166287867
24,90966.5595744769
25,92060.80382606221
26,93147.44915924342
27,90442.23420389189
28,86878.34146775123
29,85130.59023253678
30,87083.51226493392
31,85138.18915094624
32,80191.29326341485
33,82919.30497405391
34,80107.70516085757
35,76414.63081162938
36,73223.0850777266
37,74484.50553446014
38,76118.27299348307
39,76695.7907929518
40,73283.87642503722
41,73299.07426186535
42,71429.74033200524
43,72258.02243913844
44,74134.95528741289
45,71688.10355808331
46,71057.39332971575
47,72599.97376777141
48,73527.04181428767
49,73960.18016388953
50,74796.06118943698
51,80905.59159434753
52,80806.80565496464
53,81718.67586465279
54,76908.56050854777
55,78527.13013074426
56,78876.68037779137
57,79773.35275065142
58,79750.55599540922
59,79834.14409796396
60,78891.87821461953
61,77546.86965532947
62,76695.79079295388
63,78018.00259700172
64,75510.35952035926
65,78283.9647414941
