,portfolio
0,100114.76571941204
1,100114.76571941204
2,100114.76571941204
3,100114.76571941204
4,100104.75424284009
5,100212.31674987487
6,100202.29551819988
7,100120.16638631209
8,100110.15436967346
9,100382.3369302225
10,100372.29869652948
11,100354.11983407705
12,100344.08442209364
13,100230.79362467912
14,100220.77054531664
15,100261.20340889762
16,100251.17728855673
17,100070.99358941955
18,100060.98649006062
19,100028.40521740005
20,100018.40237687832
21,99840.33618546205
22,99830.3521518435
23,99899.86004590466
24,99889.87005990007
25,99946.21128106938
26,99936.21665994127
27,99926.2320334343
28,99916.23941023095
29,99537.77853038041
30,99537.77853038041
31,99527.82475252738
32,99383.28658777804
33,99383.28658777804
34,99373.34825911926
35,99693.15076632731
36,99683.18145125068
37,99610.4458920437
38,99610.4458920437
39,99610.4458920437
40,99610.4458920437
41,99610.4458920437
42,99610.4458920437
43,99610.4458920437
44,99610.4458920437
45,99610.4458920437
46,99610.4458920437
47,99610.4458920437
48,99610.4458920437
49,99610.4458920437
50,99610.4458920437
51,99610.4458920437
52,99600.4848474545
53,99637.26324539064
54,99627.2995190661
55,99810.61761856315
56,99800.6365568013
57,99874.86384948481
58,99864.87636309986
59,99801.88940279969
60,99791.9092138594
61,99691.22318273745
62,99681.25406041917
63,99913.98891858962
64,99903.99751969776
65,99734.67116459746
