,portfolio
0,100000.0
1,100000.0
2,100000.0
3,100000.0
4,100000.0
5,100000.0
6,100000.0
7,100000.0
8,100000.0
9,100000.0
10,100000.0
11,100000.0
12,100000.0
13,100000.0
14,100000.0
15,100000.0
16,100000.0
17,100000.0
18,100000.0
19,100000.0
20,100000.0
21,100000.0
22,100000.0
23,100000.0
24,100000.0
25,100000.0
26,100000.0
27,100000.0
28,100000.0
29,100000.0
30,100000.0
31,100000.0
32,100000.0
33,100000.0
34,100000.0
35,100000.0
36,100000.0
37,100000.0
38,100000.0
39,100000.0
40,100000.0
41,100000.0
42,100000.0
43,100000.0
44,100000.0
45,100000.0
46,100000.0
47,100000.0
48,100000.0
49,100000.0
50,100000.0
51,100000.0
52,100000.0
53,100000.0
54,100000.0
55,100000.0
56,100000.0
57,100000.0
58,100000.0
59,100000.0
60,100000.0
61,100000.0
62,100000.0
63,100000.0
64,100000.0
65,100000.0
66,100000.0
67,100000.0
68,100000.0
69,100000.0
70,100000.0
71,100000.0
72,100000.0
73,100000.0
74,100000.0
75,100000.0
76,100000.0
77,100000.0
78,100000.0
79,100000.0
80,100000.0
81,100000.0
82,100000.0
83,100000.0
84,100000.0
85,100000.0
86,100000.0
87,100000.0
88,100000.0
89,100000.0
90,100000.0
91,100000.0
92,100000.0
93,100000.0
94,100000.0
95,100000.0
96,100000.0
97,100000.0
98,100000.0
99,100000.0
100,100000.0
101,100000.0
102,100000.0
103,100000.0
104,100000.0
105,100000.0
106,100000.0
107,100000.0
108,100000.0
109,100000.0
110,100000.0
111,100000.0
112,100000.0
113,100000.0
114,100000.0
115,100000.0
116,100000.0
117,100000.0
118,100000.0
119,100000.0
120,100000.0
121,100000.0
122,100000.0
123,100000.0
124,100000.0
125,100000.0
126,100000.0
127,100000.0
128,100000.0
129,100000.0
130,100000.0
131,100000.0
132,100000.0
133,100000.0
134,100000.0
135,100000.0
136,100000.0
137,100000.0
138,100000.0
139,100000.0
140,100000.0
141,100000.0
142,100000.0
143,100000.0
144,100000.0
145,100000.0
146,99990.0
147,100028.43379887473
148,99375.79154268085
149,99929.7607667837
150,99101.16502843093
151,99455.66880866972
152,96822.16431153592
153,98712.21928548114
154,97740.5607398591
155,97786.43403224935
156,101435.87084267006
157,101599.86473612607
158,106718.54569134235
159,105148.3833036156
160,110247.44319467948
161,107627.99317745978
162,104685.56941482154
163,104683.90169665156
164,109103.34611468266
165,120434.09905001239
166,119243.4011011107
167,122426.70735548633
168,120067.67422161886
169,121076.05273000024
170,125943.74586123845
171,122431.61587176184
172,123608.69254152254
173,128271.13201793173
174,127898.77705854333
175,130064.18490620407
176,131787.9243254291
177,134043.91830125317
178,131931.49313902852
179,129132.66147107935
180,125720.5166160747
181,124808.24950272853
182,122980.61778786799
183,124811.22807739415
184,126415.86523262787
185,122972.0167666603
186,127799.5332273431
187,124423.74703846569
188,125345.21231923348
189,126426.7937596645
190,128591.73645876878
191,134627.7654185587
192,134163.09026251882
193,127112.2184699418
194,123313.45344276405
195,113385.13777036194
196,112453.80714150042
197,113230.23843182664
198,108725.17039795897
199,110434.57912087553
200,115098.21659284671
201,116186.74584230696
202,117819.85458256271
203,116030.68574987202
204,113074.0603903096
205,114786.15320532327
206,113696.43424513256
207,117043.82724488835
208,115330.96027082279
209,114707.9741339706
210,114162.80279815731
211,112371.49122287094
212,113851.41758221797
213,114941.93611730034
214,116655.83626932533
215,119538.51533055864
216,119772.2423749469
217,117590.4687470623
218,120473.63944970026
219,118759.26962621279
220,116889.02799917961
221,120317.94109934419
222,116888.91560016786
223,117356.507841878
224,123357.65091207443
225,120941.58129990025
226,124682.69228208147
227,128268.06770135877
228,128345.85220837643
229,142142.0443369222
230,138556.65313846912
231,133412.17583880093
232,132242.91776394597
233,138089.02144403942
234,133568.0268452261
235,136763.95291050358
236,137153.6719455468
237,134035.73049079272
238,141908.59613701093
239,141284.99492850332
240,138712.68941704827
241,140271.66931450748
242,137699.3794173139
243,141051.13804124232
244,137465.4582463504
245,134425.2573227045
246,135126.8636762522
247,136218.20595915988
248,138400.82857459094
249,137543.3303429589
250,133645.76843109765
251,128578.79273029591
252,126863.92185792528
253,124525.32996441377
254,123044.27195350865
255,128111.13698847307
256,138868.66218826978
257,131073.38462002896
258,137075.69423598264
259,136608.02649709873
260,134191.49462160407
261,132944.14845381211
262,130059.97921805103
263,132554.44222520577
264,136140.2979960251
265,135906.38102111188
266,134347.3525765755
267,140661.62716227229
268,141051.3018620087
269,140817.450730932
270,140193.82563850645
271,144013.53801258298
272,137621.42873540032
273,133567.8310832425
274,128267.08123066481
275,134035.6002603427
276,133645.79302138428
277,136530.1355953513
278,137153.6951671916
279,141129.26748773706
280,142532.50785593266
281,141363.18483645696
282,140349.71867222292
283,140037.97181399065
284,139414.27995629024
285,142376.55219159185
286,143311.9579459278
287,146508.14784083786
288,148223.0694895682
289,148378.92643039548
290,150717.60614169817
291,148690.77236643972
292,153757.70828319396
293,153835.6037377221
294,148534.94829410664
295,150795.53458813234
296,151185.2760462317
297,151652.97900880914
298,150639.51250941318
299,147521.44867406183
300,161007.43477179817
301,162722.29065172633
302,158668.75476337195
303,160461.70424572044
304,163034.23575534744
305,165138.86616618838
306,160383.70969470832
307,158824.74376246723
308,151808.90174180924
309,154147.54877471275
310,160149.9242787766
311,156953.7997360355
312,155004.96021691881
313,160461.7042743191
314,156330.20674779444
315,155082.95473337485
316,155472.66320216778
317,157343.57424814405
318,151341.1656550913
319,148534.94767306643
320,149002.55160868823
321,154693.1802313661
322,150405.6936194493
323,152120.68166099954
324,149937.95759933247
325,146975.7175318703
326,149470.25460155596
327,145104.8725137128
328,154371.0978500174
329,153895.99824845
330,151440.75562392612
331,151757.55473283186
332,149460.8767643756
333,153975.11547623892
334,154767.14626959345
335,150094.40893991146
336,147956.03146284583
337,144788.07339061698
338,145738.4707185467
339,146688.9010671299
340,142570.61170677558
341,143916.95839094816
342,147084.81740314243
343,139402.6536322302
344,143996.1746786442
345,137501.82595437436
346,137185.0928859366
347,131165.94282527044
348,137185.09288621566
349,134175.53436588234
350,133304.4523864468
351,138610.68887960087
352,138769.05541385117
353,137422.7747699267
354,151123.95652448488
355,146530.4684966141
356,151123.95652456523
357,153499.8838057127
358,155163.0296004849
359,148668.81295557617
360,148272.83057879162
361,149302.4111748732
362,148431.23013360435
363,146055.26983174525
364,153737.53266900123
365,145580.0381466576
366,146609.6847838711
367,141778.5809128817
368,142570.61170758633
369,142332.99586506395
370,147639.26538007846
371,147084.81740734095
372,140669.75100844423
373,140749.03333722413
374,142808.19452954203
375,143283.36017350477
376,143600.12626263223
377,140115.40209731366
378,140828.24962489778
379,143996.1746805539
380,147401.6825581986
381,145738.47072212922
382,142887.44383777116
383,143520.97601603335
384,139244.25407648933
385,134333.9339175875
386,134017.16782845533
387,130136.46128626965
388,130057.24499857765
389,133304.45238304805
390,134571.48371903462
391,136472.24535655856
392,134254.7836709906
393,130453.194354849
394,129819.59613549177
395,127839.71727190776
396,129502.86306690374
397,133779.55198593333
398,134333.93391759894
399,134571.4837190405
400,134492.33347243833
401,133541.93614340085
402,131561.99123872354
403,128314.882915874
404,130215.6775739497
405,129977.99569032744
406,130849.24277276333
407,132274.77272523034
408,130215.67757394945
409,131641.14148532652
410,130532.44366308372
411,131245.22514958997
412,129423.67979975048
413,126255.68870295527
414,123879.72840090387
415,128552.43271731444
416,123642.17859946167
417,125542.94023699398
418,124909.3089970897
419,123483.74602407665
420,122216.61562644845
421,123087.8296883399
422,123246.19622263461
423,120632.65309859542
424,120395.07027660824
425,121662.20067423656
426,119840.65532439631
427,121503.80111939675
428,118415.12537192811
429,124117.41028452644
430,121662.2006742366
431,122533.38171558312
432,122774.00242771942
433,122774.00242771942
434,131275.63707162943
435,126383.18102758346
436,130313.15422308425
437,126543.5287945841
438,124297.90058403743
439,125661.35191171961
440,123977.07296785568
441,118041.96019176405
442,122854.17631121959
443,127505.9786225843
444,130072.63257258333
445,129992.29358635753
446,129511.11820317508
447,128789.35512840145
448,122693.76250312866
449,123014.65616040058
450,126302.94110299292
451,122292.79402399165
452,125661.35191171958
453,125741.49277467484
454,124618.66215912891
455,125340.52429553783
456,121250.13729194607
457,124378.00842644752
458,125500.93810362872
459,124378.0084264475
460,121971.96640780989
461,124458.28137158316
462,125500.93810362872
463,127185.18402694761
464,122854.17631121947
465,125500.93810362872
466,131355.74491403977
467,127345.5978350385
468,127666.42545122023
469,127185.18402694762
470,127024.80323940187
471,128789.35512840151
472,128869.46297081163
473,127826.80623876606
474,129671.46597017582
475,132398.4346666305
476,141541.62548126912
477,141702.03928936
478,146674.63619636142
479,145230.8789029985
480,144589.38877336046
481,144027.90742449724
482,145471.53263567982
483,144910.150348452
484,146353.74253908946
485,146273.63469667934
486,141942.560939861
487,144027.90742449724
488,145551.7725602704
489,148599.50283181662
490,154133.48202604594
491,152689.88983540845
492,146514.2554088156
493,144669.59567740583
494,148198.53435267962
495,155898.0008945004
496,155256.41170322715
497,155256.41170322715
498,154454.27662168254
499,153973.10123850015
500,150925.40398749898
501,151807.54784981837
502,152529.4099862273
503,153010.75047213523
504,144829.94344440653
505,144910.15034845198
506,148920.29742745328
507,148840.09052340785
508,143225.87140458796
509,136408.6147661768
510,131837.01935885742
511,135446.09889708643
512,138092.86068949566
513,130313.15422308432
514,126784.14950672035
515,125741.49277467479
516,130714.15572276642
517,131837.01935885742
518,130232.88127794868
519,131516.15872213058
520,131596.36562617603
521,132318.19474203984
522,126383.18102758337
523,129992.29358635748
524,124378.00842644743
525,118843.99621167302
526,113149.63622989798
527,109299.90295898756
528,112588.220922125
529,109700.87143812454
530,108898.86843876037
531,106412.52045444201
532,104247.03310685049
533,104487.68683953192
534,108818.56247307964
535,108096.76637776091
536,106252.10664635114
537,105770.83220153343
538,104407.44691494136
539,103765.82470312298
540,103926.17247012365
541,99194.1632547134
542,97509.91733139455
543,94863.28762116568
544,96868.29511957613
545,97991.12573512206
546,94622.60086793917
547,104567.86072303224
548,101439.92354744057
549,106733.38109116883
550,105289.65681835097
551,109139.42310980648
552,115555.67824853561
553,117961.75328771833
554,116758.74878867206
555,116197.33348089912
556,116838.9556927175
557,121811.55259971893
558,118523.2016160364
559,114432.88065353477
560,114272.49986598898
561,113951.63922926215
562,112989.1563807169
563,113871.4653457618
564,113711.05153767092
565,117961.75328771833
566,119164.8568483999
567,130152.70739444836
568,129110.01764185767
569,122533.44775667298
570,128789.35512840141
571,136087.78714999504
572,124859.28287126514
573,124779.10898776482
574,126703.97562322003
575,132558.78243363107
576,126784.14950672035
577,126865.61119147956
578,117020.07338258545
579,128248.7427640408
580,138582.45631167834
581,141430.3132237404
582,136548.32469249057
583,135571.94019445867
584,138989.36848893313
585,134432.76440908873
586,126295.90772688675
587,126702.78688359648
588,129469.28117253463
589,119461.117179028
590,125970.49025493625
591,120356.10603339091
592,120844.34781322454
593,117671.00738812175
594,116613.22724642082
595,116450.50200017303
596,117426.88649820496
597,115067.20532488628
598,119542.4798021519
599,118972.9084197395
600,117508.28214187396
601,120600.25994385283
602,120681.6225669767
603,120681.6225669767
604,123610.7760610725
605,122715.75418616447
606,124180.4465051202
607,119461.117179028
608,121332.52355196793
609,115799.56799463672
610,115474.11750214109
611,119542.4798021519
612,121820.73231125645
613,115636.875768934
614,118972.9084197395
615,120518.86430018382
616,124831.34749011142
617,115474.11750214109
618,112382.10667961714
619,115474.11750214109
620,117345.49085453596
621,118972.9084197395
622,121576.67746242986
623,119461.117179028
624,109208.79927505947
625,105465.85444699918
626,109778.40367801698
627,109941.09590371966
628,112788.98583632684
629,106604.93117073379
630,106035.45884995669
631,111975.29356399762
632,117589.61174445276
633,111487.01876361891
634,111487.01876361891
635,110103.85417051258
636,104652.22821576016
637,106279.57973987349
638,109941.09590371966
639,109941.09590371966
640,115067.20532488628
641,126214.61114485304
642,132398.5337282657
643,136710.98389764817
644,135002.33579150116
645,133293.5556031737
646,128492.83063341252
647,130689.78656048336
648,132723.98422076128
649,133537.64347254543
650,136141.41251523577
651,138338.36844230662
652,130608.45695790456
653,127028.30341718227
654,131666.23709960547
655,135815.92900219507
656,134025.91827292414
657,134432.76440908873
658,131259.42398398597
659,129143.83068003903
660,126133.21550118405
661,126051.85287806013
662,125319.58926994502
663,128411.53405137881
664,127923.32529209029
665,124098.984820361
666,121576.67746242986
667,116043.62284346331
668,116775.91947212354
669,115311.293194258
670,118484.66663990586
671,114904.51309918358
672,117345.49085453596
673,119786.5016304334
674,122390.27067312376
675,113277.16157507025
676,115718.23839205792
677,116857.34813633762
678,113277.16157507025
679,107418.68948415322
680,109615.61239067894
681,107825.53562031782
682,97573.25073689438
683,108232.41477702753
684,107011.87636853372
685,104896.31608513187
686,108720.59051577096
687,108720.59051577096
688,108883.31576201876
689,108964.64536459756
690,107744.13997664882
691,108151.01913335854
692,110429.30466300818
693,110998.94208651081
694,110673.39253237989
695,113114.43632882244
696,117426.88649820496
697,117182.79862883325
698,129062.46805691511
699,132398.5337282657
700,129794.76468557534
701,127580.4399517824
702,137058.65721699543
703,143433.47157162533
704,146704.68489240145
705,144020.67592512054
706,145865.89700579701
707,151737.44523257326
708,153163.33841103764
709,148717.78242436115
710,145446.5360830399
711,140917.0418707218
712,148046.7389068596
713,149975.99727481295
714,147291.8232048065
715,142175.28974171865
716,145614.24743159767
717,145614.24743159767
718,146117.57960054153
719,141588.15142931358
720,143433.47157162533
721,145110.981303744
722,143097.8507512392
723,138820.10517475574
724,139658.89306136023
725,136639.2632736932
726,134877.84833647797
727,134206.80481897638
728,132948.5899685246
729,125567.30939927763
730,131942.0907333624
731,133032.56121471134
732,132361.45165611955
733,134206.80481897638
734,131606.5359540665
735,128083.70607963605
736,124141.350179723
737,119276.40024974427
738,117598.79145599029
739,112314.4475827093
740,117934.34623528618
741,118437.64538368491
742,128335.32263329033
743,121457.2421508068
744,118353.7401785884
745,122631.55179616206
746,124309.16058991606
747,127161.07902902529
748,131942.0907333624
749,131858.18552826587
750,133619.6995271164
751,130432.32537034656
752,136723.20149933483
753,136555.39108914175
754,140749.2975016189
755,134542.26053663698
756,138820.10517475574
757,137729.70073449702
758,133535.79432201985
759,138065.1894727027
760,139323.4373436996
761,138400.6782109084
762,144691.58736044177
763,148885.52679346397
764,149975.99727481295
765,148214.51629650753
766,146788.49103586268
767,151066.36869452658
768,164570.78102365896
769,161299.5677028828
770,159957.51368842466
771,160209.13024207894
772,160712.39636993263
773,163396.50439884883
774,165493.4741153599
775,158196.06573066438
776,150479.2964232117
777,156350.74558835264
778,157273.37263896337
779,162809.33306589865
780,159621.99192967388
781,156686.26734710342
782,163312.63221429737
783,161802.8338307364
784,157357.17878242463
785,157944.3170948297
786,155260.3411480939
787,165912.86805866213
788,164822.4636184034
789,170442.29622989008
790,167758.18820097388
791,161635.0894616336
792,162222.19475349353
793,166500.0063710672
794,171868.2884699898
795,166080.57940721992
796,150311.51903356373
797,145194.8865088405
798,146453.06833874717
799,152911.68883683832
800,151737.44523257326
801,151737.44523257326
802,157021.72306476402
803,167087.14468347232
804,164370.94068471988
805,162673.18935845548
806,160720.91567056812
807,157070.89065641642
808,154948.85834617514
809,157325.54510021978
810,163522.08153186023
811,162163.8474503036
812,160551.09100712408
813,153251.17306100097
814,147394.1868946134
815,147139.59849190022
816,151298.86635256847
817,158344.16287543328
818,157325.54510021978
819,154779.06670327616
820,151808.24128126548
821,156901.1650546076
822,156052.3389222931
823,153166.21119846127
824,155882.514258849
825,154354.65363711893
826,145951.1230326975
827,132539.53145583838
828,136189.55646999012
829,150280.18253626482
830,151129.10773021463
831,149176.73498069198
832,150789.5244444167
833,146460.4979613945
834,150874.35422477598
835,146545.32774175378
836,146460.4979613945
837,148497.60142964113
838,150874.35422477598
839,154100.0322138606
840,149686.04386829873
841,154524.4122594728
842,149940.6983121021
843,148497.60142964113
844,156731.3403911635
845,160975.4710527362
846,163012.80566479862
847,159362.78065064683
848,157410.40790112418
849,156391.79012591063
850,154184.82897367486
851,152317.41808669188
852,149601.08200575903
853,147818.5669402256
854,143489.50743665828
855,144593.02103332127
856,144083.71214571455
857,142555.81850343934
858,138226.79202041717
859,138396.55064277104
860,134152.28789901797
861,132030.32162986687
862,131436.0839002655
863,136529.13975578808
864,144677.88383422568
865,145781.36441034358
866,146121.01373723175
867,150280.18253626482
868,150025.5611130065
869,142895.36876869225
870,144083.71214571455
871,145866.29325233822
872,141027.89184061904
873,137802.41197480497
874,134406.97536336642
875,132709.45518091775
876,130841.94523229946
877,129653.43675255167
878,131945.39278787232
879,123117.48213783874
880,121419.82987320966
881,126512.8527081871
882,128125.60915136669
883,130247.7075026981
884,132115.1514102262
885,130672.1205688554
886,129313.9855489341
887,128804.64364078223
888,128295.46683535587
889,130587.3238090412
890,126682.64435108607
891,133812.86971594548
892,135934.9350467318
893,135850.03922528232
894,144762.81267622026
895,144083.71214571455
896,140518.64899410246
897,140688.34157536615
898,138311.65482132157
899,136359.34811288907
900,140433.78619319806
901,139075.5851321866
902,143574.43627865284
903,144338.4326306081
904,142640.74734543392
905,146375.5360988548
906,147988.39160366968
907,160296.46958386578
908,153420.9316833549
909,152487.1436885006
910,155712.8216775853
911,147224.39525171445
912,140518.64899410246
913,136189.55646999012
914,139500.03121888897
915,142895.36876869225
916,130077.98190088934
917,130926.77501265878
918,142810.4399266976
919,134322.11256246202
920,140348.8573512035
921,136104.59460745042
922,129653.43675255167
923,134576.80002681052
924,134322.11256246202
925,136359.34811288907
926,125409.37213206917
927,124560.47995866445
928,126937.23275379927
929,131181.46247700727
930,134152.28789901797
931,128804.64364078223
932,128889.57248277681
933,128380.29661571515
934,129398.91439092868
935,120995.4168070524
936,124390.72133631055
937,138311.65482132157
938,147394.1868946134
939,145526.77600763045
940,136444.21091379347
941,120061.69485328837
942,120825.59214360832
943,94851.33418383985
944,97907.12146839024
945,90884.11381346727
946,98012.68815107172
947,66594.0357359275
948,71874.43365406913
949,89652.03472446132
950,82171.31278364877
951,72138.43291213555
952,77330.91362895112
953,91588.17787606784
954,94492.49992024917
955,86835.67941242369
956,92908.24020749
957,84987.58554432364
958,87803.8087741809
959,90972.08054561097
960,91588.17787606784
961,102325.13832045419
962,94404.33506483489
963,93700.27100223428
964,100476.91237017373
965,108133.55126500115
966,104173.19916800917
967,99156.88305929666
968,98364.720182372
969,90972.08054561097
970,92996.27298072391
971,93788.36981655839
972,89564.00195122746
973,91060.11331884486
974,98100.6879037605
975,92820.30649589143
976,100916.94415416283
977,103997.19966263157
978,97572.7224081728
979,92732.3067432026
980,92380.17565026703
981,100300.91286479613
982,106197.39160312212
983,95900.59502490524
984,94140.36882731359
985,84811.60254921859
986,91060.11331884486
987,91764.11134035524
988,92556.20817618971
989,87187.71144372398
990,89828.03422983892
991,89475.96917799355
992,89652.03472446132
993,90180.01673032157
994,92468.2744645911
995,103381.13535271978
996,102501.0717847416
997,110773.8080100259
998,114646.1603543291
999,116230.28798490789
1000,113062.06574429547
1001,112181.93613522708
1002,113854.09653903975
1003,105581.32729321031
1004,100212.91311210734
1005,99244.84979144039
1006,93612.30427009058
1007,104085.26545641055
1008,114558.12758109524
1009,127231.18164627043
1010,142808.557755627
1011,127055.18214089282
1012,128551.3100187828
1013,128287.3437812615
1014,126615.18337744885
1015,120630.63884534387
