,portfolio
0,90025.07338703077
1,90772.60128796216
2,92246.60667520521
3,90067.2139538166
4,90152.68229502786
5,92482.32235698903
6,92781.57184679148
7,91071.31085929605
8,97015.04826625601
9,102488.8986349392
10,105140.48970018355
11,105119.10093141066
12,106573.37692678694
13,106681.51084292591
14,108671.36096912772
15,108714.6189690197
16,108476.67126840973
17,105578.08300655738
18,111332.17920811403
19,111440.33927892294
20,111353.7992627729
21,108801.04105315413
22,110661.56946773574
23,112565.38927891594
24,113192.78623690263
25,114252.90558201124
26,112522.08178572502
27,110531.60930112422
28,109731.08263489822
29,107632.40393811326
30,110877.82573359253
31,110747.99915261172
32,109038.72568363904
33,110531.64258160774
34,110596.54954876336
35,112673.69263053896
36,111526.93776221179
37,110142.16325317665
38,110466.7192731976
39,110856.18524861784
40,109687.78259064275
41,110077.25082619548
42,112024.61099366848
43,110683.09033062503
44,108952.0960573565
45,109168.47052721008
46,109428.12299869099
47,108000.03796015364
48,106766.7075835494
49,109017.00826831034
50,109125.19619813822
51,108887.18749191439
52,110293.6343540986
53,112305.93417140051
54,111267.32829283533
55,116503.65166157925
56,116417.09552232368
57,118948.71025882567
58,119641.11988242026
59,119489.65310814358
60,119662.75230930407
61,119403.09674035826
62,118213.02061950996
63,120160.41831275487
64,119338.18615909714
65,119922.40833723749
