,portfolio
0,113655.52919557467
1,112398.49426272383
2,109203.50669004586
3,106181.04018073672
4,105044.16328401759
5,105155.08032089841
6,106563.09602498828
7,105780.51883686797
8,107696.88983682885
9,109000.15469944259
10,107435.01684998015
11,106526.11541054682
12,105450.8508121833
13,104132.19526756763
14,104927.08830879944
15,105888.35277453234
16,105044.16327162528
17,104819.25436572942
18,106670.9382323071
19,105842.13940847461
20,105524.79550456605
21,107182.37662100082
22,106258.06796952151
23,104480.33706040862
24,103133.93365729974
25,102046.35320794352
26,103026.10798005115
27,101920.0372248144
28,104212.30614927322
29,105151.99721440581
30,106137.91817704178
31,108017.3168386571
32,105232.10809703553
33,104498.81910064358
34,105170.47925459553
35,106972.86666018008
36,106553.855003818
37,108719.78314816701
38,110435.90174627592
39,109865.91761041031
40,110383.52218960407
41,108880.00491343829
42,109748.83438171259
43,111064.42336365533
44,112229.0398660948
45,113945.14193286285
46,113757.21363863959
47,116397.6326226231
48,115652.01951087514
49,116203.52160654556
50,117885.75095385007
51,123684.18523534022
52,125970.27143797431
53,126913.07039538509
54,126324.57115664007
55,125970.27143797428
56,122639.7515881964
57,122448.71540170416
58,123055.66361796089
59,126130.47667190438
60,123810.50121846473
61,124044.65114451839
62,124682.43031333725
63,126272.21639698093
64,129932.42079740047
65,129488.76917600099
66,132061.39312703162
67,133515.63873879483
68,132270.9278850611
69,131740.98265917136
70,132015.188026543
71,134014.75301212247
72,137283.71014482723
73,134242.7367476637
74,135016.08945104666
75,141107.22767144584
76,139961.06014651794
77,140894.61808383104
78,142567.589879696
79,142903.42408950822
80,143347.09224224955
81,144841.36023264707
82,142903.42408950822
83,138103.23488601504
84,138405.1798450217
85,136827.709611061
86,140478.67299138283
87,138405.1798450217
88,136630.50723405633
89,132788.540729926
90,132884.04229183026
91,130604.08921702487
92,129544.23182792909
93,130483.93942441275
94,130674.95907956315
95,131891.94687300376
96,133629.62234089454
97,133916.16008929105
98,136291.6147260007
99,135348.83229993176
100,131657.81347829194
101,128336.4850545862
102,128909.54402003736
103,122159.06976103861
104,123520.87210914106
105,121398.09903270606
106,130120.36562296555
107,125169.22873698187
108,126950.05100711777
109,124725.54405289865
110,128521.35505056601
111,129498.01019609866
112,124901.1564974389
113,122088.23296118405
114,123274.40633340439
115,125508.13777637936
116,127871.26003206414
117,128025.29907548185
118,124987.43357058732
119,123169.6637514024
120,122741.40280927121
121,124633.13385192154
122,120723.35578349633
123,116835.15111619371
124,118924.03494182313
125,122303.88431570044
126,122251.52955604129
127,122716.75457856336
128,122559.62417421854
129,124294.20828118216
130,124546.87331011498
131,121872.56507532582
132,122430.20029882499
133,124630.02595965253
134,127972.91125313898
135,128681.56028449614
136,125409.54485354795
137,126611.10890503654
138,126734.36658991767
139,127815.79738013603
140,131854.9827926129
141,132729.98671707071
142,132957.97045261197
143,133774.43689555637
144,131898.09653217433
145,131885.79721383317
146,129165.2673472136
147,129189.91557792145
148,123030.99885591115
149,122744.4776388565
150,120578.52469749266
151,120439.90939602695
152,123567.12680365518
153,123080.3118486687
154,123379.16544674821
155,121481.25168224362
156,120159.52130680102
157,119284.53391368507
158,121684.60371841886
159,123376.07408582109
160,123225.12640333053
161,122938.58865493404
162,120606.26428912763
163,125498.89675628165
164,125190.80213810441
165,127073.25909797332
166,125896.34327719256
167,124386.651544843
168,123714.98312521858
169,122793.7741002722
170,115504.11359528598
171,117241.83865720234
172,121900.27160427709
173,124303.46583262175
174,123055.66361796086
175,119805.20505679338
176,114505.90157997262
177,114256.32791196693
178,121564.43739446488
179,123915.24380046669
180,124340.41338167073
181,125554.32634552606
182,122140.60425218505
183,124599.24460111596
184,129427.1403335604
185,128546.00328127386
186,132474.24685855262
187,132970.2697709531
188,135401.18705959088
189,136461.06098002853
190,138069.36216655135
191,138106.30971560034
192,141211.95372210597
193,138858.07248651888
194,140158.24599218077
195,140641.98611758195
196,138321.97760145858
197,137890.65836108394
198,135043.8125113398
199,137681.14013439626
200,137345.30592458407
201,134316.71450247098
202,133737.45628382367
203,133256.82405069147
204,139230.8542453801
205,144015.65276960496
206,147937.77975039688
207,146502.01617882904
208,142570.68124062312
209,147540.3166981441
210,147706.68812258664
211,150263.92139434896
212,148439.98538465163
213,147836.09546663833
214,142487.47899706
215,139237.0369672344
216,137989.2347525735
217,131682.44517765794
218,128992.72973225862
219,127430.68324024994
220,124355.83712362272
221,126031.90028041482
222,126068.86436080566
223,132351.02223635523
224,132917.91501129395
225,129313.15673146071
226,138223.38467862716
227,137141.98695109252
228,137693.45598407928
229,137456.23122844033
230,135921.89126538293
231,135182.46087548923
232,140709.76461919307
233,138728.68167380904
234,138781.0694961519
235,144376.13521012504
236,147777.5579851249
237,147041.2024248165
238,147361.61289267673
239,144360.7279995149
240,148963.7478886871
241,143756.85461284345
242,140592.65659348253
243,138448.31011592498
244,136488.76750897983
245,134251.99429910327
246,136100.57853950845
247,133207.54412061762
248,135737.0212694031
249,130899.86798551909
250,128395.00600475776
251,130557.88411653631
252,130101.88358277013
253,132261.67033362153
254,135493.63032325174
255,136448.74513034555
256,124928.91262041575
257,125237.00723859298
258,126441.66265100874
259,125122.99057380957
260,123659.53700463231
261,123862.88904080755
262,125865.52885597228
263,125652.91926835747
264,123009.4585174723
265,124217.20529081518
266,124503.72650786984
267,125763.8611035556
268,126678.9204693314
269,130739.64622024713
270,129710.60325237163
271,130745.84547344327
272,125649.84443877218
273,125717.63947172517
274,125575.91627799047
275,127911.31547338214
276,131137.09274115806
277,135167.0536648791
278,135770.91052020865
279,137108.08116894512
280,134985.25849848456
281,132649.85930309288
282,134692.5545595756
283,135638.44487791354
284,136168.3570411196
285,138750.22201224792
286,139877.87443429668
287,140731.3214889738
288,141029.1501438582
289,138095.74618815412
290,137647.54844774414
291,140132.75466303824
292,139696.88930365312
293,139220.8858462407
294,138352.2795510813
295,137094.24443581133
296,139585.61684161788
297,134791.39545253487
298,132942.95999420638
299,135372.52171281195
300,137044.78266097707
301,136111.27431768953
302,136336.927134029
303,135341.64116622423
304,137118.97532322846
305,138460.47718353127
306,136519.30089738854
307,134933.61458652525
308,131007.98296125978
309,131208.88835884028
310,131233.60271491556
311,131660.1774601774
312,130198.11252371607
313,127317.26170377337
314,123475.08029219888
315,124643.51553460734
316,120699.31921243716
317,120257.32072522333
318,123499.81117961604
319,122989.80275200507
320,125691.37116951539
321,126241.56728917919
322,126875.24668521767
323,125233.88281498213
324,122272.65661093376
325,123345.2596646008
326,123812.00557057363
327,123063.96235157276
328,125416.25657834164
329,128043.64886494241
330,130680.3152343246
331,131094.5245358779
332,129301.70051155424
333,129811.72547050707
334,127443.99097044433
335,128037.46614308812
336,132674.04465622874
337,134123.76068032338
338,132902.7888334954
339,133879.5431670792
340,134466.8356178687
341,136791.32412763516
342,137647.54844774414
343,137486.8142108746
344,135539.43867153575
345,139205.44557294683
346,138417.19813055126
347,137690.82750072412
348,136766.593240218
349,137180.8025417713
350,137094.24443581133
351,134204.1195330872
352,135078.8754874172
353,134584.3073331001
354,135947.4652512347
355,138327.56519500603
356,143888.3614373109
357,144175.82494085137
358,145359.70045655366
359,144862.02440996756
360,144790.93963998515
361,142336.6635653043
362,142815.75838364387
363,140361.46577762117
364,140284.18175444263
365,137802.09996275936
366,138049.375774247
367,138785.0535495393
368,138197.7445674079
369,135901.07830598575
370,135112.8639262739
371,137196.24281506514
372,138587.22298154407
373,136281.2991686823
374,135867.08986712905
375,131193.43155420458
376,132544.2074972888
377,133820.8073094635
378,133805.36703616966
379,133734.28226618722
380,133975.35882447872
381,135749.6346832395
382,134584.3073331001
383,132204.20738932877
384,131925.98490588603
385,133338.6211301968
386,137041.67476870806
387,134667.7740781329
388,132674.04465622874
389,129301.70051155424
390,129054.42470006662
391,127601.61731504486
392,129746.82342237895
393,129493.34835769517
394,129329.52275989851
395,127512.00091084147
396,126748.50088720486
397,125861.37948916633
398,123796.53223459607
399,121002.2560519552
400,122387.05349657986
401,122022.30596986084
402,121159.91545923945
403,120359.31910447714
404,120486.03183980625
405,119401.07987377248
406,119057.98840488533
407,121904.83425462946
408,122158.30931931321
409,120958.97699897522
410,120136.7576490648
411,123521.45070610601
412,126850.49926645869
413,126733.04408256916
414,127360.52422541151
415,125765.56383176679
416,126983.44431766764
417,123570.91248094029
418,122866.13178357756
419,123867.65006726219
420,122887.7878414094
421,120087.29587423052
422,121407.1747393852
423,120303.6746077886
424,123972.73980744314
425,125413.16521741448
426,125947.9375951263
427,122356.12335596659
428,120096.56995701196
429,117735.01817880353
430,117206.44505428785
431,114801.60595742849
432,114112.29859604331
433,113939.21544680708
434,112588.41470671007
435,116820.05800107884
436,117246.63274634069
437,115466.20722840933
438,112715.15223905195
439,114832.51130102898
440,115478.55614077604
441,114656.33679086561
442,120612.77763781905
443,120637.5085252362
444,120291.32569542188
445,121255.69805395526
446,120229.4819455372
447,120940.42883341236
448,121577.19959037799
