,portfolio
0,92643.97997817401
1,93448.58168034452
2,93289.1809402506
3,92044.32073590324
4,91619.24900349717
5,92848.92245871878
6,92416.26197713599
7,92750.25022138796
8,92370.72023067862
9,95915.52664056257
10,97410.88036596387
11,96393.73813528856
12,96955.44437624073
13,97775.2235991907
14,97539.91685730896
15,98314.15433476616
16,96811.22112547013
17,94587.17166502972
18,95915.52663771207
19,94845.25391281993
20,96234.33739075645
21,93820.52293368605
22,94571.9941715364
23,95224.78390506461
24,95285.51241017513
25,92985.55695061391
26,93615.58044415002
27,92636.39121088039
28,89911.36401308647
29,88924.58603313661
30,92294.81421783994
31,93463.76844726728
32,94921.15991131606
33,93767.39244109839
34,92355.53345707884
35,92507.3454539955
36,91634.42647172404
37,92727.47470269894
38,92917.23969884499
39,93714.25268265871
40,91945.64847809794
41,94192.46417929482
42,93691.48644264266
43,93995.11043647659
44,94093.78267495125
45,89159.89277514961
46,88841.09128797153
47,90761.50748944996
48,89342.06902462375
49,85865.5705888772
50,85857.98184220516
51,89137.12653513344
52,87785.99605622469
53,89319.29351873868
54,86654.9948260193
55,88856.26878131565
56,88795.54954207025
57,90442.70600227201
58,90313.66951124014
59,89554.6095266552
60,90222.57675356859
61,88803.1382887423
62,87619.00656596359
63,90503.4345073864
64,92256.86121860384
65,95027.43016233893
