,portfolio
0,137630.175597854
1,137731.0752688584
2,136897.77748981837
3,142757.83738173498
4,141721.85636057457
5,139067.9753225583
6,137904.9862672824
7,138511.85183284438
8,140535.27821244934
9,144709.48047280777
10,143241.91883466986
11,144810.89275539803
12,140558.78680742427
13,140204.39018556275
14,142077.78109470446
15,142913.28241313514
16,143900.79782040903
17,144229.99543956155
18,143368.91897385288
19,142305.18720629645
20,138759.22702258406
21,139341.80315732
22,142812.15133788876
23,139974.93302611212
24,143344.25780485253
25,141089.50774768108
26,149221.94058291538
27,144281.5314104714
28,145852.38937974
29,151730.48461996493
30,157025.97294892182
31,149374.0140857268
32,146232.06729298024
33,145091.83892794466
34,141569.755708191
35,142380.59513205805
36,141924.48949143005
37,143977.0193650566
38,140758.83391122465
39,139061.07178853985
40,138148.8140878049
41,131560.31381936494
42,132979.3646843653
43,137084.5556992952
44,136400.36688767056
45,133612.86068007885
46,134474.45581005636
47,139669.39387265514
48,141367.25105001958
49,143318.53683313663
50,143242.5158435004
51,144078.76134904986
52,143901.38984366469
53,142913.06506922442
54,144053.43355774946
55,144534.92419803684
56,144813.6804997025
57,144889.7019077902
58,150388.87219825972
59,160449.53346955034
60,155583.92360359232
61,147145.10125650963
62,147829.31476080578
63,147854.6608589933
64,153404.51431263052
65,148817.6644305258
66,151782.6571758703
67,150921.034793535
68,158574.28676349283
69,155026.41010489297
70,154342.17747178534
71,160170.80419514645
72,160956.42215099878
73,157155.12918928819
74,157509.89397997854
75,157560.6031266008
76,163262.52044040375
77,170231.53693746272
78,169572.66625270777
79,174083.5256924106
80,177808.76665631123
81,172867.11904589637
82,178797.10654663708
83,180342.9817159774
84,180342.98170685707
85,182142.25363542433
86,185208.60832278803
87,188553.75588116248
88,179532.03219511182
89,179937.50666292413
90,186805.1601622463
91,189846.20226698174
92,192861.91474261764
93,194281.058926292
94,190631.80484598438
95,193622.1711786824
96,191214.67028587958
97,183713.44114184348
98,184600.42916212964
99,182167.58186839218
100,176364.28961563695
101,177910.13229466428
102,180773.78391721862
103,171954.7786042814
104,175325.27347692265
105,175375.9494921908
106,174058.1737451848
107,163896.06276174815
108,161159.12598881987
109,158853.01009400582
110,166328.86043547423
111,167190.50222230947
112,165239.184866171
113,161260.4779824271
114,167038.45757841595
115,174565.01726655426
116,173095.18019934947
117,176161.56929870977
118,172664.3426835115
119,173044.48756608623
