,portfolio
0,107412.34393606543
1,106516.01813751493
2,108800.81183834387
3,106607.63861410349
4,109366.05555413518
5,110575.93270843994
6,110892.05974771561
7,112177.18910683824
8,106480.59487380371
9,110660.82745429856
10,111132.3602309227
11,111757.95985451748
12,110918.72811092257
13,120335.52376824431
14,120110.47602032677
15,124707.63304567963
16,125833.88552353742
17,126569.30507612112
18,127696.77553937485
19,128326.05465811778
20,128979.34431912981
21,127410.72200137819
22,128646.93767893987
23,130038.1011702367
24,129502.85884207557
25,126742.85877522355
26,127861.3402299752
27,126933.01345862506
28,125528.40714588316
29,123694.97892571893
30,123099.61411069038
31,119943.83706603649
32,114643.88145822307
33,116275.71802043352
34,113762.16182348535
35,113059.24323760292
36,108507.83676586374
37,110855.198960713
38,110616.8631154522
39,111224.64537546848
40,108733.80305482028
41,109818.37699814198
42,106707.50766223388
43,106576.39148645097
44,110128.53984848042
45,105229.25385416471
46,100449.02106305203
47,105026.7299246253
48,105098.26050974357
49,106809.02170117921
50,106528.85658683696
51,110230.68291819567
52,107786.59525931856
53,110856.64969697672
54,110481.09496551522
55,111428.9537783848
56,110910.30669645443
57,112472.22587321016
58,115763.01873508678
59,116239.94850345352
60,115220.51086799263
61,114141.43562489992
62,114958.19030535246
63,116239.96972558662
64,113789.6812176555
65,113265.0380740508
