,portfolio
0,143915.54830068978
1,144329.06340862735
2,145376.54827664577
3,143832.85099814116
4,141848.0728441828
5,136831.03166824766
6,139119.01896728695
7,142923.16637250924
8,143253.9555827037
9,145679.78601692128
10,141682.67823908562
11,148298.57682375226
12,147085.66875544208
13,151771.90642358558
14,150614.14418790507
15,150228.1948474837
16,152847.02854710649
17,152240.56736415275
18,152543.790806831
19,148326.15688886575
20,142096.19334702316
21,143116.12674512266
22,146038.15529222917
23,146175.9984274074
24,143391.78442028465
25,149346.1045845625
26,148133.18221865507
27,147251.06336053932
28,148078.09357641445
29,136334.8192577615
30,135149.49125456478
31,135700.80660488884
32,136858.59743576386
33,141462.16639655322
34,144852.78439624066
35,146589.45634495592
36,147912.6560785255
37,139119.01896728695
38,139477.3739449976
39,144246.33751088422
40,152681.6053468148
41,161199.5847828912
42,162054.13787349075
43,169552.11242348136
44,165555.03324084022
45,168091.09814992815
46,167098.73051934488
47,163708.0982220602
48,165444.7844683727
49,164452.3739449976
50,166740.38983923144
51,164121.58473480318
52,161190.09117831092
53,164121.6133299977
54,169646.31929182383
55,167955.07080960178
56,165812.81891942798
57,174691.8412814999
58,179145.4713398294
59,177933.37823456302
60,175565.63893801052
61,172718.74426450243
62,171619.4306064185
63,175227.42927483848
64,177707.89082818438
65,184867.46984623856
66,182246.04828151182
67,185036.59612422046
68,182781.60767965592
69,181090.37349503118
70,178158.87993853894
71,173846.2241891874
72,172239.54599475494
73,174663.6464197042
74,176918.66345946322
75,172605.97911491717
76,175142.8303918544
77,174917.3429854757
78,181428.62605099508
79,183796.35104995023
80,191153.23691018476
81,186417.77261467706
82,174409.9641515299
83,174748.2167074938
84,170520.1026507373
85,166263.82232737978
86,167842.31995761383
87,170069.1135403828
88,172436.85283693526
89,176636.77203189608
90,173677.08361360824
91,172408.65797513962
92,171393.92890244263
93,178384.4102377094
94,171873.14146978728
95,174945.53784727133
96,179793.73869716976
97,184472.84186428075
98,184219.17389370367
99,183740.0042191508
100,193154.5716817695
101,199834.9524300763
102,197241.65423915887
103,196396.10863483278
104,195550.4486497286
105,203527.4784934941
106,204119.39902003494
107,205556.96523408272
108,204795.9327271572
109,204147.59388183057
110,198059.1622552592
111,188672.76105924154
112,187855.3531263221
113,192534.4419958358
114,199440.29585292394
115,196988.0148637764
116,191322.39178336124
117,191209.626633776
118,196565.22061521746
119,194338.39843725399
120,189095.59820059227
121,210320.63868898334
122,204401.26185240757
123,185543.96066056902
124,185374.84868018434
125,185374.84868018434
126,181062.1643356383
127,173367.05451463454
128,177087.76114225065
129,185346.668115986
130,188419.06449347007
131,194394.80245844251
132,193182.6807579816
133,194507.5104176387
134,197946.42570086848
135,194874.00072818995
136,193069.97279878543
137,197072.5994491633
138,199863.11869667738
139,196170.60693085688
140,207107.28230011842
141,206684.47375396223
142,203104.65564974066
143,201357.06033671915
144,199468.50501231686
145,200342.34556161935
146,197382.65714333148
147,195296.76638155436
148,191435.14263534918
149,191998.88259769167
150,185064.77668841885
151,184303.72988389607
152,178243.4502263285
153,185177.54183800408
154,182950.73395763792
155,185149.36127380573
156,184529.23158787197
157,193267.30823616023
158,191322.39178336124
159,192534.4419958358
160,200342.34556161935
161,200483.2626802084
162,201864.45346826216
163,207445.5634512768
164,216662.79547652075
165,216268.18179216015
166,215591.6194898434
167,222413.00314232276
168,220045.2924409648
169,227994.12742293466
170,227317.65090620145
171,220186.18096435934
172,224301.57276432237
173,225682.7492547789
174,228642.40907787226
175,228529.65822588428
176,224442.4898829114
177,225006.24414285118
178,231517.51291077328
179,232842.32827283308
180,230502.78383807623
181,230841.03639404007
182,230502.78383807623
183,229290.71932800437
184,223202.25910623846
185,227909.5714327424
186,230390.00439089377
187,230277.2821341003
188,223343.20482002202
189,228896.07704844922
190,227909.5714327424
191,238536.1748102384
192,240734.80212640623
193,236844.94062561364
194,237803.27997471945
195,234899.95268482837
196,236083.85092829904
197,246034.00638425644
198,242820.62140019704
199,243074.31796596854
200,241721.36493250218
201,235689.23724393852
202,230305.44840070143
203,228614.18562088208
204,227655.87486697081
205,230361.83812429264
206,234026.19792110933
207,245639.36410470135
208,247076.9589139436
209,243948.10132488207
210,243807.21280148753
211,239128.09533677925
212,243299.81966994447
213,242003.19916968027
214,232588.6603022561
215,234674.53676643592
216,237042.27606298844
217,233152.41456219586
218,236083.85092829904
219,237859.64110311616
220,242059.5888932715
221,246766.9012197754
222,242003.19916968027
223,243215.26367975213
224,239128.09533677925
225,233095.99624341007
226,225288.10697522378
227,224639.85391548075
228,217592.96855902547
229,218072.13823357836
230,220129.8484311572
231,218128.5565523641
232,218043.9719669773
233,220270.73695455166
234,219791.59587519328
235,215309.78525266532
236,217226.5497364605
237,214858.81043990803
238,212462.87628155993
239,213393.04936406462
240,208403.87420518813
241,207445.5634512768
242,208347.5130767914
243,210574.30665956036
244,212660.18312374016
245,210151.52670859866
246,221060.02151366186
247,221341.8843460345
248,242397.8414492353
249,238085.1999974811
250,239917.35130069492
