,portfolio
0,100415.90101068167
1,100468.36750036327
2,100757.85714482689
3,100665.88679601497
4,100954.14167998651
5,101051.05012892051
6,101573.8595885362
7,101006.60816966809
8,100721.43877415736
9,100994.26244843975
10,101146.72287551613
11,101292.39353265545
12,101249.18633389511
13,101554.10718804788
14,101925.07312991009
15,101899.14881065389
16,101931.24599052427
17,101626.94204569439
18,101789.27867301494
19,101620.77012692651
20,101988.03272915873
21,101764.58911425083
22,101946.6772002134
23,101933.09766033926
24,101994.2055897729
25,102334.30911225683
26,102388.62727175342
27,102191.72488542461
28,102110.24764617975
29,101228.8170240839
30,101465.84112071224
31,101335.60167326206
32,100875.75087104873
33,101122.03331675203
34,101105.98519774
35,101027.59438880222
36,100412.8145803746
37,100624.53126706964
38,101148.57454533112
39,101147.34072668533
40,100844.88845167046
41,101231.28654506808
42,100638.72771626669
43,100862.17133117458
44,101223.87892396182
45,101012.16317911308
46,100928.21736073031
47,101097.34375798792
48,101068.94991774755
49,101189.93101612275
50,101315.23236345085
51,101688.66688445094
52,101751.62648369958
53,101838.65873238943
54,101825.07919251529
55,101968.89817983961
56,102090.49618753772
57,102178.76225487336
58,102154.07269610926
59,102171.9724849363
60,102234.93208418494
61,102104.07572741187
62,102052.22708889947
63,102249.74638455117
64,102359.61652219013
65,102410.84825137962
