,portfolio
0,96738.71467280095
1,96442.60702146096
2,96455.68423540561
3,96637.83297513664
4,96347.32817931668
5,96233.36693706897
6,95705.60078734062
7,95487.95408902984
8,95465.53567503346
9,95308.60677705884
10,94992.87980884376
11,95659.82704257622
12,95561.74677267193
13,95266.57137682612
14,95403.88561920312
15,95304.86843252718
16,95345.96924662698
17,95295.52723247546
18,95303.00159090006
19,95173.16170694768
20,95069.4762508846
21,95116.17992050445
22,95885.8803548058
23,95923.2474856514
24,95469.27168892641
25,96278.20609570046
26,96433.2634907705
27,95840.11127131888
28,95756.04047085342
29,96016.65482489111
30,96006.38136934521
31,95875.6068992599
32,95858.79134078357
33,95416.02824701485
34,95142.33434839376
35,95426.30170256076
36,95992.36956926764
37,96125.01088098004
38,96210.94619243387
39,96010.11738323815
40,96325.8420208145
41,96578.98434706632
42,96615.41456114026
43,96545.35556075239
44,95654.22418705618
45,95547.7373032331
46,95295.52723247546
47,94566.92761227391
48,94022.3505653467
49,93994.32463455282
50,93922.39879253783
51,94163.39849097791
52,94048.50266259728
53,94856.50015259968
54,94719.18591022267
55,95218.93312107335
56,95541.19753094138
57,95229.20657661924
58,95032.11145067774
59,94594.01895693489
60,94786.2244028094
61,94794.66131503176
62,94714.96512347276
63,95211.88526953732
64,95132.19140861706
65,95755.68621376563
66,95661.92694807687
67,95865.38238712744
68,95612.23539959815
69,95609.4246492832
70,95400.34071768649
71,95613.17231636982
72,95226.88759107747
73,94977.49060127354
74,95171.56988069136
75,94992.49292281369
76,95305.64453522608
77,95510.03922168704
78,96305.1109892626
79,96060.40091395567
80,96063.21399490937
81,96027.58552056042
82,95886.01087057499
83,96454.18563469872
84,96426.99873384958
85,96481.37719682531
86,96393.24409304396
87,96186.97557303967
88,96596.69953209453
89,96350.11562324429
90,96358.55253546665
91,96320.110980164
92,96341.6763803832
93,96757.02650134545
94,97218.31817306105
95,97302.70127911706
96,97286.76204080526
97,97022.36506009992
98,96843.2857715835
99,96868.59883888932
100,97136.74814795874
101,97227.6943326938
102,96992.36274765836
103,97111.43508065293
104,97702.11449240625
105,97713.36448558231
106,98115.58844918646
107,97975.88763274434
108,98060.27073880035
109,97694.6121663168
110,97427.39977401902
111,97383.33438744771
112,97002.67349342402
113,97201.4420179776
114,97419.89977856832
115,97095.49584234113
116,97467.71749350373
117,97840.87606143797
118,96981.10809320484
119,97017.67581496417
120,97315.8297671139
121,97582.10291200128
122,96874.22500079671
123,96874.22500079671
124,97553.92082841213
125,97142.4768579705
126,96557.28843107793
127,96751.07871129256
128,97016.46388282173
129,97131.97499982853
130,97089.01666665656
131,97490.91667147647
132,96959.18610525911
133,96763.48703192014
134,97199.75463553313
135,97731.48287111176
136,95572.1111231285
137,95499.5583392937
138,95023.19908815334
139,95086.203245089
140,95433.68982735217
141,94719.62640094369
142,93195.08335427953
143,92642.35140241696
144,92779.81946695049
145,92882.91760205223
146,92668.12593619239
147,92505.83889976495
148,92585.07362485433
149,92490.56622413149
150,91511.1152955551
151,92041.89029989092
152,92217.54121882748
153,92119.21390121721
154,91891.05835284825
155,91645.71900508276
156,91559.80233873881
157,91357.42132414528
158,91069.12131256907
159,90932.6111405558
160,90472.47779629173
161,90257.68613043187
162,89953.16021197941
163,89940.7495607131
164,89773.68937615544
165,90242.41345479841
166,89432.88706578556
167,89763.1898486522
168,89698.27456795347
169,89841.46901186003
170,89637.17687350343
171,89755.5523455161
172,89460.57039268533
173,89931.20326445266
174,90336.92085552125
175,90558.39446263567
176,91187.49678458174
177,91372.69399977874
178,91657.17409446754
179,91039.52919254496
180,90545.98614200809
181,91331.64445973112
182,91541.66297746074
183,91585.57687251426
184,91567.4398418749
185,91862.41946406694
186,91175.08613331543
187,91015.66345189387
188,89823.32965058196
189,90307.32873549714
190,90279.64307795864
191,90566.03196577176
