,portfolio
0,99619.46842285739
1,99840.78631725095
2,100143.86904823757
3,100275.78834350189
4,100226.7278445246
5,100685.71713297082
6,100078.45504960118
7,99854.9572209269
8,100353.19597323591
9,100960.45539490313
10,98494.34817865219
11,98411.48938236514
12,97867.46402505357
13,97939.41782653214
14,98336.26434861428
15,97520.7692999403
16,95779.66723524255
17,95148.42055138006
18,95305.4157451288
19,95423.15881331236
20,95177.85631842594
21,94992.51665562287
22,95083.00655274367
23,94975.07451967461
24,93856.4940783116
25,94462.66486368966
26,94663.26672816026
27,94550.97216482733
28,94290.40746827339
29,94010.21803978806
30,93912.09704183349
31,93680.96811232544
32,93351.71552316041
33,93195.81428910565
34,92670.31970403148
35,92425.01720914507
36,92077.23384774264
37,92063.06028236427
38,91872.26945300816
39,92407.57507319681
40,91483.0566934622
41,91860.27848361294
42,91786.14208615123
43,91949.67708274219
44,91716.36555725097
45,91851.55608478762
46,91514.67239478882
47,92052.1579492582
48,92515.50710626587
49,92768.44070198605
50,93486.90605069704
51,93698.41024827369
52,94023.30030717485
53,93317.91988755307
54,92754.2697983101
55,93651.52968357714
56,93891.38101191052
57,93941.53280887938
58,93920.81944065882
59,94257.70046895521
60,93472.73248531867
61,93290.6640547879
62,91928.96105281921
63,92481.71147065853
64,92450.0931076295
65,92777.16310081138
