,portfolio
0,101128.7058939875
1,102107.65608105186
2,103389.06528192891
3,103356.54212450152
4,103779.34316672353
5,103076.84773454178
6,100806.72976644017
7,100357.90860660713
8,100270.09766953415
9,99320.42306007302
10,98302.44664308817
11,99613.13147801555
12,101626.31175155337
13,101610.05017276939
14,101545.00385769951
15,102992.28436783895
16,103242.71109281087
17,103857.40353443152
18,103206.94038358798
19,103941.95897993815
20,106068.97824752324
21,106501.53783092998
22,107376.40759285205
23,108069.15243665816
24,108222.00968908776
25,109210.7105024655
26,107343.88443526876
27,108765.1448321023
28,108475.69190600685
29,108143.9572870521
30,108209.00360214994
31,110485.62463058557
32,110501.88620936005
33,109662.78715654694
34,109425.36651839307
35,108517.97359886003
36,108209.00360214249
37,107025.1559032164
38,106625.11947731605
39,105395.7504741342
40,106134.0245624571
41,105034.7402492479
42,104654.22089396654
43,103219.94646995513
44,102904.47342977222
45,102309.29805857615
46,101629.56724188641
47,100335.14398338144
48,98669.9599049046
49,101073.41807170465
50,99961.12767156505
51,101304.33566639395
52,102767.87775611029
53,101860.47689635176
54,101626.31175004195
55,106420.22993693613
56,105932.38257369735
57,105324.19317534714
58,105379.48889536007
59,105503.07054186802
60,105880.34234552897
61,108849.70821782052
62,109971.75715326973
63,112001.19900825349
64,111734.5107043944
65,113142.76501432183
66,111275.93100686032
67,112085.76239397112
68,111344.23281380336
69,112362.20923313976
70,112440.26163516835
71,112310.16900497135
72,111588.15649542274
73,114482.71751730621
74,113211.05888104082
75,113045.19554167405
76,114141.22436303906
77,114446.93886791241
78,115705.59141724769
79,115318.5610782772
80,114993.32950278466
81,116274.74667435962
82,116619.48738024727
83,118372.4903362864
84,117374.02304734514
85,117432.5663189786
86,116460.12708434556
87,115835.68404744471
88,117221.16579490845
89,117403.29865327387
90,117546.39737040098
91,117130.09936572575
92,116834.14339616195
93,114622.5686828128
94,114056.6609773214
95,114476.21447384114
96,112970.39069126597
97,115637.28961030467
98,115529.96160234734
99,115500.6939366426
100,116652.01053779654
101,116196.686332107
102,118255.40379301949
103,117552.90041386602
104,117923.66917406191
105,118274.92086363863
106,118395.25495852607
107,118135.06969813205
108,117598.43759856939
109,120288.10113984777
110,120018.15734414416
111,119705.93979580574
112,122223.22901402829
113,122151.67965546473
114,122229.73205749333
115,123140.38046887239
116,124184.36906206899
117,129433.61939487673
118,128646.55263000564
119,127111.4532415017
120,128080.65286473824
121,128327.83203820216
122,127752.16579740119
123,127752.16579740119
124,126952.09294559999
125,125234.87657917866
126,123003.78479521035
127,123124.11889009777
128,121153.22030674748
129,121257.29282286028
130,120450.71692759403
131,119741.71050497552
132,118587.13841197707
133,119813.25986353908
134,119026.20103889196
135,122779.3781842101
136,125231.62108733413
137,123722.54975313842
138,125134.05161468637
139,128932.75006425983
140,129300.27127283522
141,128649.80812185016
142,129518.1669001464
143,126376.44258524702
144,126438.23340850101
145,128236.75766879544
146,128633.54654307553
147,126994.38257868282
148,128236.75766879544
149,129417.35781610213
150,130126.3562984966
151,131118.3126037488
152,131690.72335270527
153,131199.62049762195
154,129339.28953362552
155,127196.01662721937
156,129498.66570997526
157,128503.45391287853
158,125725.97943426197
159,127706.63655292185
160,125111.27905222269
161,124763.2907947145
162,122928.97994480225
163,123501.3906937587
164,123491.63215844912
165,125280.40582365802
166,121780.91089526884
167,124015.25817108169
168,115770.63773234621
169,117279.70906654192
170,121826.4480799722
171,119946.60798558062
172,118967.6577672585
173,122678.55321971781
174,123709.54366620832
175,128552.2386492024
176,128048.12970718899
177,136565.9414932486
178,134851.9647382238
179,136972.48096261427
180,134835.70315944916
181,137531.8856246406
182,135554.46811737726
183,137652.211779304
184,137232.66622300827
185,136149.65142879737
186,135333.31699822153
187,135395.1078214755
188,133882.78099543529
189,134917.0110533223
190,134110.44309828003
191,134851.9647382238
