,portfolio
0,109317.31572272543
1,109424.26039750177
2,107672.66114054715
3,107765.15364295078
4,107048.32439326066
5,106418.20818659708
6,105392.10381586563
7,106481.79634350027
8,105782.31251967659
9,109117.87858038138
10,111297.26364255908
11,109956.1046891436
12,111210.55059712622
13,114586.5728731685
14,114913.20048095305
15,114335.11350786564
16,115106.8511489326
17,112314.70235913753
18,112369.61779889898
19,113968.02263460624
20,114320.66133369223
21,112863.88498363858
22,113968.02263461277
23,115017.25895928098
24,115647.36811483966
25,116528.95074919016
26,117037.67010842706
27,116601.21162085551
28,114947.87723168141
29,113043.08347716357
30,115089.51983091896
31,114205.04393899046
32,111736.61538543804
33,113496.88739662725
34,111190.31190485037
35,110881.04384217353
36,109250.83434326162
37,109759.55370250922
38,109750.88098656364
39,111340.62016330595
40,108230.50942393391
41,110216.24382280944
42,102888.99143545859
43,104230.15039096592
44,108270.97974610495
45,106600.30698174625
46,105730.28326414747
47,109028.27226986294
48,109944.54576802092
49,114248.40046200421
50,113800.38305764933
51,121370.4291511231
52,119847.16433093592
53,121731.73350947382
54,119832.71215660188
55,122228.89395194498
56,120471.50108485622
57,122335.8315739459
58,121962.96829881828
59,121000.45913355255
60,120274.95715929402
61,120329.87259907303
62,118985.82038600839
63,119904.973028272
64,119188.15082668478
65,119847.1643309359
