Stock,Period,Return(%),BuyHold(%),Alpha(%),FinalValue,StartDate,EndDate,Days
ASIANPAINT_NS,6M,-4.94,-2.8,-2.14,95057.6,2025-10-27,2026-04-30,126
ASIANPAINT_NS,1Y,3.09,1.62,1.47,103086.28,2025-04-25,2026-04-30,252
ASIANPAINT_NS,5Y,2.65,4.52,-1.86,102654.94,2021-03-24,2026-04-30,1260
ASIANPAINT_NS,10Y,1121.84,208.77,913.06,1221836.63,2016-02-15,2026-04-30,2520
AXISBANK_NS,6M,5.49,1.13,4.35,105486.55,2025-10-27,2026-04-30,126
AXISBANK_NS,1Y,12.8,8.84,3.96,112795.81,2025-04-25,2026-04-30,252
AXISBANK_NS,5Y,158.57,80.29,78.28,258574.46,2021-03-24,2026-04-30,1260
AXISBANK_NS,10Y,1006.48,211.2,795.27,1106478.7,2016-02-15,2026-04-30,2520
BAJAJ-AUTO_NS,6M,7.98,9.88,-1.9,107982.83,2025-10-27,2026-04-30,126
BAJAJ-AUTO_NS,1Y,24.96,27.55,-2.58,124964.04,2025-04-25,2026-04-30,252
BAJAJ-AUTO_NS,5Y,367.43,217.15,150.29,467433.36,2021-03-24,2026-04-30,1260
BAJAJ-AUTO_NS,10Y,2347.72,456.0,1891.73,2447724.32,2016-02-15,2026-04-30,2520
BAJFINANCE_NS,6M,0.0,-13.59,13.59,100000.0,2025-10-27,2026-04-30,126
BAJFINANCE_NS,1Y,0.0,3.47,-3.47,100000.0,2025-04-25,2026-04-30,252
BAJFINANCE_NS,5Y,0.0,81.5,-81.5,100000.0,2021-03-24,2026-04-30,1260
BAJFINANCE_NS,10Y,0.0,1458.85,-1458.85,100000.0,2016-02-15,2026-04-30,2520
BRITANNIA_NS,6M,0.0,-3.15,3.15,100000.0,2025-10-27,2026-04-30,126
BRITANNIA_NS,1Y,0.0,7.02,-7.02,100000.0,2025-04-25,2026-04-30,252
BRITANNIA_NS,5Y,95.52,75.37,20.15,195518.93,2021-03-24,2026-04-30,1260
BRITANNIA_NS,10Y,1534.89,391.7,1143.19,1634887.7,2016-02-15,2026-04-30,2520
DRREDDY_NS,6M,0.0,3.01,-3.01,100000.0,2025-10-27,2026-04-30,126
DRREDDY_NS,1Y,0.0,13.32,-13.32,100000.0,2025-04-25,2026-04-30,252
DRREDDY_NS,5Y,0.0,56.89,-56.89,100000.0,2021-03-24,2026-04-30,1260
DRREDDY_NS,10Y,0.0,147.43,-147.43,100000.0,2016-02-15,2026-04-30,2520
HCLTECH_NS,6M,0.0,-19.73,19.73,100000.0,2025-10-27,2026-04-30,126
HCLTECH_NS,1Y,0.0,-19.85,19.85,100000.0,2025-04-25,2026-04-30,252
HCLTECH_NS,5Y,0.0,53.21,-53.21,100000.0,2021-03-24,2026-04-30,1260
HCLTECH_NS,10Y,0.0,289.86,-289.86,100000.0,2016-02-15,2026-04-30,2520
HDFCBANK_NS,6M,-27.8,-23.06,-4.75,72196.03,2025-10-27,2026-04-30,126
HDFCBANK_NS,1Y,-23.42,-18.15,-5.27,76575.39,2025-04-25,2026-04-30,252
HDFCBANK_NS,5Y,18.78,10.19,8.59,118776.61,2021-03-24,2026-04-30,1260
HDFCBANK_NS,10Y,7011.01,244.78,6766.23,7111009.11,2016-02-15,2026-04-30,2520
HINDALCO_NS,6M,28.88,23.45,5.43,128878.62,2025-10-27,2026-04-30,126
HINDALCO_NS,1Y,74.97,68.08,6.89,174967.2,2025-04-25,2026-04-30,252
HINDALCO_NS,5Y,150.03,238.5,-88.47,250029.62,2021-03-24,2026-04-30,1260
HINDALCO_NS,10Y,150.03,1551.02,-1400.99,250029.62,2016-02-15,2026-04-30,2520
HINDUNILVR_NS,6M,0.0,-9.68,9.68,100000.0,2025-10-27,2026-04-30,126
HINDUNILVR_NS,1Y,0.0,-1.7,1.7,100000.0,2025-04-25,2026-04-30,252
HINDUNILVR_NS,5Y,0.0,5.57,-5.57,100000.0,2021-03-24,2026-04-30,1260
HINDUNILVR_NS,10Y,0.0,228.82,-228.82,100000.0,2016-02-15,2026-04-30,2520
ICICIBANK_NS,6M,-2.0,-8.29,6.29,98001.1,2025-10-27,2026-04-30,126
ICICIBANK_NS,1Y,-2.3,-9.37,7.07,97695.77,2025-04-25,2026-04-30,252
ICICIBANK_NS,5Y,46.44,130.18,-83.74,146439.11,2021-03-24,2026-04-30,1260
ICICIBANK_NS,10Y,1590.39,631.31,959.08,1690392.84,2016-02-15,2026-04-30,2520
INFY_NS,6M,-28.71,-21.45,-7.26,71286.36,2025-10-27,2026-04-30,126
INFY_NS,1Y,-26.25,-17.8,-8.45,73750.89,2025-04-25,2026-04-30,252
INFY_NS,5Y,-4.1,-0.83,-3.27,95897.77,2021-03-24,2026-04-30,1260
INFY_NS,10Y,998.62,183.62,815.0,1098618.24,2016-02-15,2026-04-30,2520
ITC_NS,6M,-29.31,-23.57,-5.74,70690.64,2025-10-27,2026-04-30,126
ITC_NS,1Y,-31.74,-23.46,-8.28,68257.27,2025-04-25,2026-04-30,252
ITC_NS,5Y,282.37,85.5,196.88,382373.44,2021-03-24,2026-04-30,1260
ITC_NS,10Y,310.47,131.32,179.15,410469.85,2016-02-15,2026-04-30,2520
KOTAKBANK_NS,6M,-0.76,-10.8,10.04,99238.18,2025-10-27,2026-04-30,126
KOTAKBANK_NS,1Y,0.62,-12.96,13.58,100618.4,2025-04-25,2026-04-30,252
KOTAKBANK_NS,5Y,1.38,7.97,-6.59,101379.62,2021-03-24,2026-04-30,1260
KOTAKBANK_NS,10Y,1.3,208.51,-207.21,101302.57,2016-02-15,2026-04-30,2520
LT_NS,6M,0.0,2.3,-2.3,100000.0,2025-10-27,2026-04-30,126
LT_NS,1Y,0.0,23.82,-23.82,100000.0,2025-04-25,2026-04-30,252
LT_NS,5Y,0.0,208.95,-208.95,100000.0,2021-03-24,2026-04-30,1260
LT_NS,10Y,0.0,512.43,-512.43,100000.0,2016-02-15,2026-04-30,2520
MARUTI_NS,6M,-21.72,-18.76,-2.96,78283.96,2025-10-27,2026-04-30,126
MARUTI_NS,1Y,14.84,15.05,-0.2,114842.58,2025-04-25,2026-04-30,252
MARUTI_NS,5Y,183.74,96.59,87.15,283740.86,2021-03-24,2026-04-30,1260
MARUTI_NS,10Y,2814.55,292.92,2521.63,2914553.31,2016-02-15,2026-04-30,2520
NTPC_NS,6M,-0.27,18.68,-18.94,99734.67,2025-10-27,2026-04-30,126
NTPC_NS,1Y,-1.11,14.93,-16.05,98885.85,2025-04-25,2026-04-30,252
NTPC_NS,5Y,4.02,351.79,-347.77,104022.07,2021-03-24,2026-04-30,1260
NTPC_NS,10Y,4.02,453.47,-449.44,104022.07,2016-02-15,2026-04-30,2520
POWERGRID_NS,6M,19.92,12.47,7.45,119922.41,2025-10-27,2026-04-30,126
POWERGRID_NS,1Y,10.61,7.26,3.35,110607.11,2025-04-25,2026-04-30,252
POWERGRID_NS,5Y,454.2,231.25,222.95,554197.55,2021-03-24,2026-04-30,1260
POWERGRID_NS,10Y,1099.37,545.63,553.73,1199365.12,2016-02-15,2026-04-30,2520
RELIANCE_NS,6M,-4.97,-3.59,-1.38,95027.43,2025-10-27,2026-04-30,126
RELIANCE_NS,1Y,4.66,10.47,-5.81,104661.38,2025-04-25,2026-04-30,252
RELIANCE_NS,5Y,69.54,54.13,15.41,169539.52,2021-03-24,2026-04-30,1260
RELIANCE_NS,10Y,240.7,597.46,-356.76,340696.56,2016-02-15,2026-04-30,2520
SBIN_NS,6M,13.27,15.79,-2.52,113265.04,2025-10-27,2026-04-30,126
SBIN_NS,1Y,45.26,36.47,8.79,145258.86,2025-04-25,2026-04-30,252
SBIN_NS,5Y,416.99,221.78,195.21,516989.82,2021-03-24,2026-04-30,1260
SBIN_NS,10Y,691.7,605.25,86.45,791696.52,2016-02-15,2026-04-30,2520
SUNPHARMA_NS,6M,0.0,7.47,-7.47,100000.0,2025-10-27,2026-04-30,126
SUNPHARMA_NS,1Y,0.0,2.16,-2.16,100000.0,2025-04-25,2026-04-30,252
SUNPHARMA_NS,5Y,0.0,224.6,-224.6,100000.0,2021-03-24,2026-04-30,1260
SUNPHARMA_NS,10Y,0.0,131.48,-131.48,100000.0,2016-02-15,2026-04-30,2520
TATASTEEL_NS,6M,2.41,19.64,-17.23,102410.85,2025-10-27,2026-04-30,126
TATASTEEL_NS,1Y,6.62,55.77,-49.15,106617.95,2025-04-25,2026-04-30,252
TATASTEEL_NS,5Y,33.96,249.34,-215.38,133963.05,2021-03-24,2026-04-30,1260
TATASTEEL_NS,10Y,1482.21,1064.88,417.34,1582212.47,2016-02-15,2026-04-30,2520
TCS_NS,6M,-7.22,-18.35,11.13,92777.16,2025-10-27,2026-04-30,126
TCS_NS,1Y,-9.43,-25.77,16.34,90566.03,2025-04-25,2026-04-30,252
TCS_NS,5Y,-3.39,-9.83,6.44,96608.93,2021-03-24,2026-04-30,1260
