Feature,Importance
Stoch_D,0.0013531939688995478
BB_Lower,0.0010433433648246886
Williams_R,0.0010279449690435618
Stoch_K,0.0007040374914954947
Close,0.0007010471450041006
SMA_10,0.0005179583596223458
High,0.00024167904276070165
Open,0.0002262166145357388
EMA_26,0.00019647463862922215
BB_Middle,0.00018007616326678075
SMA_50,0.00014806564642301956
ATR,0.00013555602790185523
ROC,0.00013429293305962023
CMF,0.00011806006163065253
Volume,0.0001044923677675272
MACD_Signal,7.66408469456557e-05
Low,6.892766356041624e-05
EMA_12,5.261588357004202e-05
OBV,4.048290805525638e-05
MACD,1.8705680971163262e-05
BB_Upper,1.693706187409215e-05
RSI,5.4921002613728185e-06
