Feature,Importance
CMF,0.003211011198122471
MACD_Signal,0.002990111345769102
Williams_R,0.0021487189974930846
MACD,0.0017446175436050739
Close,0.0015183320198498412
Stoch_D,0.0007462413968860725
Stoch_K,0.0006263298259085236
BB_Upper,0.0005009439477700099
EMA_26,0.00042304238629784895
BB_Middle,0.00034653908354061424
SMA_10,0.0003443597027481947
High,0.0002399946021951947
EMA_12,0.0002313295570768435
BB_Lower,0.00022729488334295297
ROC,0.00022323397789751897
ATR,0.00021486636529209898
Low,0.00013296503718644029
Open,0.00011223997464168067
Volume,5.6359903310412676e-05
RSI,4.0286061665175855e-05
SMA_50,2.6008850600486682e-05
OBV,0.0
