Feature,Importance
Stoch_D,0.0002852612563505787
Stoch_K,0.0001834127012754407
Williams_R,0.0001753124098874201
BB_Lower,0.00017064010828839334
Open,0.00011249763422717626
EMA_26,0.00010376776175237937
SMA_50,8.728494471654267e-05
High,5.850255059666305e-05
MACD_Signal,5.147080032528406e-05
MACD,4.656371144475236e-05
Low,4.550052472477335e-05
CMF,3.891582489613289e-05
BB_Middle,3.205592283419624e-05
RSI,2.8812138609583702e-05
BB_Upper,2.4161628742509487e-05
OBV,2.336319489957551e-05
ATR,1.788832478322345e-05
SMA_10,1.3218212065411902e-05
EMA_12,8.728054978081095e-06
Close,5.4135068663886975e-06
ROC,4.3810103950444444e-06
Volume,8.020510770790641e-07
