Feature,Importance
Williams_R,0.0029206640978718793
Stoch_K,0.0016950076692403928
Stoch_D,0.0016324768192589856
ATR,0.0012639890464636152
CMF,0.0007302023120536102
EMA_26,0.000431922029075942
MACD,0.0003181332212501029
MACD_Signal,0.0003086697898826931
BB_Lower,0.0002912724359979981
Low,0.00026174383153518136
ROC,0.000194653791328466
RSI,0.00018678057218781172
BB_Middle,0.00018633842426865615
OBV,0.00012849805662522515
BB_Upper,0.0001250757370158469
SMA_50,9.966098010072248e-05
SMA_10,8.269071826133678e-05
Volume,5.946028135585136e-05
Close,5.225057254011456e-05
Open,4.906412779733501e-05
EMA_12,2.8802911645922028e-05
High,8.242017355216993e-06
