Feature,Importance
Stoch_D,0.0036748521667898403
MACD,0.003113615056811336
Stoch_K,0.0017948044252549162
SMA_10,0.0012785930296883054
CMF,0.0009851643319416918
MACD_Signal,0.0007470201937420758
Williams_R,0.0007284612891009421
ROC,0.0004960635326339731
EMA_26,0.0004336923312394537
BB_Lower,0.00041130045914463087
BB_Middle,0.00035840749376332475
Volume,0.0003121278371328414
Close,0.0002926935986888953
Open,0.00017091856765856416
SMA_50,0.00013955617158593344
BB_Upper,0.00011034041603790164
High,0.0001023110470347743
Low,9.774527988430826e-05
ATR,4.9991254009125646e-05
RSI,4.404696122951034e-05
EMA_12,3.582585314062344e-05
OBV,2.4363432383361734e-05
