Feature,Importance
Stoch_D,0.0036927171084041436
SMA_50,0.003563172108433113
Williams_R,0.002359297964625978
EMA_26,0.002199505748809245
Stoch_K,0.001017888840576895
BB_Middle,0.0007520651779437392
ATR,0.0006517616940883335
Open,0.0006395302250018305
Close,0.0006238795381278728
Low,0.00047024370437962864
CMF,0.0004170941441045563
MACD,0.00036240043972961484
OBV,0.00035772359627272293
Volume,0.0003336945645884022
BB_Upper,0.0002436831781706685
EMA_12,0.00022055583169937093
RSI,0.00019129412374625302
ROC,0.00017364946576099277
MACD_Signal,0.00015099253526001504
High,6.020602967918354e-05
SMA_10,0.0
BB_Lower,0.0
