Feature,Importance
BB_Upper,0.00015765167066371762
Close,0.0001514810585259262
Open,0.00012697422681331357
EMA_26,8.507017459814395e-05
BB_Lower,7.69829037449138e-05
SMA_10,6.645675073145658e-05
High,5.803627963663124e-05
Stoch_K,3.615408105059138e-05
OBV,3.39388641553977e-05
Low,3.246807526091258e-05
MACD,2.98257923151767e-05
BB_Middle,1.5505472963249814e-05
Williams_R,1.170030773523402e-05
MACD_Signal,8.132142238174163e-06
EMA_12,7.407316743030475e-06
ATR,6.465615912810571e-06
SMA_50,6.371784402232309e-06
ROC,6.088790524639193e-06
Stoch_D,3.8713874013130975e-06
CMF,1.1183842609143812e-06
Volume,0.0
RSI,0.0
