Feature,Importance
ATR,0.0028480826928301466
Williams_R,0.000605050851686987
MACD_Signal,0.0006035208070257292
Stoch_D,0.0005312856149973223
MACD,0.00032130515758764587
Stoch_K,0.0002853921714687522
ROC,0.00023685034454654766
OBV,0.00015713294746557918
EMA_26,0.0001454729538387098
High,7.897294711216131e-05
CMF,7.62662930508293e-05
BB_Upper,6.664369637569979e-05
RSI,5.9527456992274034e-05
Open,5.5990327178460354e-05
Low,5.597106680137529e-05
EMA_12,4.861160890333493e-05
Volume,3.510940801961472e-05
BB_Middle,3.0779551966584755e-05
BB_Lower,2.9123309598469913e-05
SMA_10,2.6620006624232073e-05
SMA_50,1.9534480508268374e-05
Close,2.391598776835171e-06
