Feature,Importance
Open,0.0018978275303931647
High,0.001285472037874338
SMA_10,0.001162077004368775
Low,0.0010466076510991444
Williams_R,0.000826804272162034
EMA_26,0.0007215562573481136
Close,0.0006591362101526591
Stoch_K,0.0005892695053301953
SMA_50,0.0005061960553671732
BB_Lower,0.0004877262716710587
Stoch_D,0.0003253223799059273
MACD_Signal,0.00027520225098887205
BB_Middle,0.00026200906584102773
Volume,0.00025443990351954875
ATR,0.0002528944762646299
CMF,0.00020906447703233146
RSI,0.00017002023050669522
BB_Upper,0.00013331369450487966
OBV,0.00010159825959267755
ROC,6.332811282412488e-05
EMA_12,0.0
MACD,0.0
