Feature,Importance
OBV,0.0037094543127843085
High,0.0022014749625136865
EMA_26,0.0016179993353287187
SMA_50,0.0016119312381127188
Low,0.0014787363205304937
Close,0.0009307280714116245
Stoch_K,0.000914983152897593
Open,0.0005319418738462523
BB_Lower,0.00044280987358866816
Williams_R,0.00026200897997751373
EMA_12,0.0002570204670189117
SMA_10,0.00022491828028700376
ATR,0.00020771553867536037
MACD_Signal,0.00017785300131917598
BB_Upper,0.00010875190689092961
Stoch_D,8.625687654936302e-05
CMF,7.651039502348163e-05
Volume,7.06225915351164e-05
ROC,5.233826620470468e-05
RSI,4.837091172308163e-05
BB_Middle,4.131379387087886e-05
MACD,4.0508428720684915e-05
