Feature,Importance
Williams_R,0.0014375630928711676
Stoch_D,0.0010239772045882538
MACD_Signal,0.0009600436876534991
Stoch_K,0.0008893438319699627
SMA_50,0.0006686300113837
Volume,0.0002878670241015978
MACD,0.0001996264529687921
CMF,0.0001750999235008818
ATR,0.0001698822872032686
EMA_12,0.00015974186587305845
High,0.00015151972307924987
BB_Upper,0.00013436072046370202
BB_Middle,0.00013313722773844477
ROC,0.00012931876493551384
Close,0.00010202452333520033
Low,0.00010003827845697301
SMA_10,7.016727181215782e-05
EMA_26,4.062352246126172e-05
BB_Lower,3.550298015198913e-05
Open,1.7953102809924615e-05
RSI,0.0
OBV,0.0
