Feature,Importance
Stoch_D,0.002555495761833364
Williams_R,0.0010590358711516008
ATR,0.0006294387548104282
Close,0.0005094681948086343
MACD,0.00048707255378622403
Stoch_K,0.00031451159476441964
EMA_12,0.0003081734257527662
Low,0.0002932109168041101
CMF,0.0002263132187525924
RSI,0.00018030559985933092
EMA_26,0.00017548768015800858
ROC,0.0001381477853780482
BB_Upper,0.00012901753831071264
SMA_10,8.29541343849181e-05
MACD_Signal,7.349131642807503e-05
Volume,6.180476572535336e-05
High,4.652682985244214e-05
BB_Middle,2.4060775390503595e-05
SMA_50,2.307962981051414e-05
Open,1.8450867185527757e-05
OBV,1.387181552065706e-05
BB_Lower,0.0
