Feature,Importance
CMF,0.0014297634072908062
Williams_R,0.001391366607446385
ROC,0.0008533226231797895
RSI,0.0007648626750151483
SMA_50,0.0003041058346794171
BB_Lower,0.00023058002668081357
SMA_10,0.00022512196328982535
MACD_Signal,0.0002118762274085609
MACD,0.0001977845159562739
Stoch_K,0.00017663200261869568
OBV,7.686739422788084e-05
BB_Middle,7.510526221441296e-05
Low,5.286695210853132e-05
Stoch_D,3.572945891341976e-05
BB_Upper,3.3409415663813493e-05
Volume,3.2623274840626016e-05
ATR,3.119584308812915e-05
EMA_12,2.444051812990775e-05
EMA_26,2.3453452549864323e-05
Close,1.508013322525518e-05
High,1.3096313259288024e-05
Open,6.79446770179633e-06
