Feature,Importance
Williams_R,0.0031209664920784984
Stoch_K,0.0026609297278168847
RSI,0.0024193296553500767
ROC,0.000696231538900022
BB_Lower,0.00034461349610964427
MACD_Signal,0.00020282373339031365
EMA_12,0.0001326096634888624
SMA_10,0.00012186906315192318
MACD,6.464365778504087e-05
ATR,5.763783217369038e-05
BB_Upper,5.192221340982804e-05
Volume,5.053699470751415e-05
EMA_26,4.6161915037748644e-05
CMF,4.360749136560246e-05
SMA_50,4.2216840647287984e-05
Low,3.916353004947293e-05
High,3.068353955634104e-05
Open,2.2335081438683514e-05
OBV,1.782868155864791e-05
Stoch_D,1.1907972077894839e-05
Close,4.330121797811032e-06
BB_Middle,0.0
