Feature,Importance
Stoch_K,0.0003687959873513684
Williams_R,0.000334858540173193
Stoch_D,0.00024812515073003016
RSI,0.00012939149465325588
CMF,0.0001271473103435288
ATR,0.00011157022267647655
EMA_26,7.130466712532187e-05
OBV,6.963783633480913e-05
EMA_12,6.564365923520812e-05
BB_Upper,6.090212810903619e-05
SMA_50,5.961368244856524e-05
SMA_10,5.2305053479695026e-05
BB_Lower,4.3599634125978405e-05
ROC,4.229616506483879e-05
MACD_Signal,3.807527553559385e-05
Volume,2.7796975306179134e-05
BB_Middle,2.4509596181546238e-05
MACD,2.3222123215107824e-05
Close,1.4361794659220354e-05
Open,1.0869086587699837e-05
High,8.715597327228442e-06
Low,0.0
