Feature,Importance
Stoch_K,0.0058518539567934125
Stoch_D,0.004812348297529083
Williams_R,0.004457310999650036
ATR,0.0028987648421546905
Low,0.0022688242166857293
High,0.0014406603414660298
RSI,0.0005614785690080237
EMA_12,0.0004778018127354216
CMF,0.0004511234688396906
SMA_10,0.0003294827026113443
EMA_26,0.00028690688080449685
Open,0.0002233986241997395
BB_Lower,0.0001926196894382303
MACD,0.00014803354882540032
SMA_50,0.00013414625588083602
BB_Middle,0.0001227863676193693
BB_Upper,0.0001080357003294733
MACD_Signal,8.468546289267142e-05
OBV,8.059431824058825e-05
Volume,5.793081340476338e-05
Close,3.7366632857530874e-05
ROC,2.908399562216342e-05
