Feature,Importance
Stoch_K,0.00279174979887828
Stoch_D,0.002623987170844206
Williams_R,0.002060192484017597
MACD,0.0017028220790083052
RSI,0.0014229151144996913
ATR,0.0004611384582968045
Open,0.0004133435488772261
High,0.00023325994935672408
CMF,0.00019028933042640068
Close,0.00016743711350394741
BB_Upper,0.00013267139360022273
EMA_12,0.00012565021629717786
MACD_Signal,8.261654506811493e-05
BB_Lower,7.768596311824987e-05
SMA_10,7.374235722690652e-05
Low,7.370541381780787e-05
EMA_26,5.663163063497253e-05
Volume,5.4653803060466047e-05
BB_Middle,3.4739309501833885e-05
ROC,1.4768718218040669e-05
SMA_50,0.0
OBV,0.0
