Feature,Importance
Low,0.0015989936418377509
BB_Lower,0.0012345281352356058
Williams_R,0.0010511661544716422
MACD_Signal,0.000916666573626532
Stoch_K,0.0007445818944004101
RSI,0.0007351463387414074
MACD,0.0006323300951142782
BB_Upper,0.0006032859197369989
ATR,0.0005835745609371175
Stoch_D,0.000545393156159824
SMA_50,0.0004897312748064999
Close,0.0004111348770862635
EMA_26,0.0003614600290258774
BB_Middle,0.0002953390623454457
EMA_12,0.0002760536827308325
SMA_10,0.0002234505425998408
Volume,0.00017981976142429043
OBV,0.00012577263637454796
ROC,4.173062747293604e-05
High,9.961220325517945e-06
Open,0.0
CMF,0.0
