Feature,Importance
Stoch_D,0.0030235112416490207
EMA_26,0.00266506551220265
Stoch_K,0.0021486115152512205
BB_Middle,0.002076785929635785
BB_Lower,0.001702878562849507
Low,0.0015468322561184296
Open,0.0013835262008749555
BB_Upper,0.0013153954408909446
Williams_R,0.0012452183887685217
SMA_50,0.0010141421180348872
SMA_10,0.000881966800677399
MACD,0.0007564343336563748
CMF,0.0007149369855269448
OBV,0.0005408465977169671
ATR,0.0005305573837524465
ROC,0.00046253361080389
Volume,0.00038984783834422214
RSI,0.00035593999536140175
Close,0.00020085981372981818
MACD_Signal,0.00019035957502123822
High,7.005889211641237e-05
EMA_12,6.881894069620957e-05
