Feature,Importance
High,0.0007317576185944207
SMA_50,0.0006573349980414668
EMA_26,0.000571834670681493
Low,0.0004576028828796701
Stoch_K,0.0004216193375494292
BB_Upper,0.00040309585750805633
BB_Middle,0.00032418644456942214
CMF,0.0003234272171305211
MACD_Signal,0.00031426190547522164
Open,0.00020771562367741828
ATR,0.00012945961322771658
BB_Lower,0.00012261759400728807
ROC,0.00010587912379527551
SMA_10,9.04949291954454e-05
Close,6.567741906252962e-05
Williams_R,5.177869018622057e-05
Volume,4.118056283242862e-05
MACD,3.8284657457814795e-05
EMA_12,2.176968979999255e-05
Stoch_D,2.123341617468941e-05
OBV,2.0651593200576485e-05
RSI,3.4354296003951938e-06
