Feature,Importance
EMA_26,0.0009607709385433255
Stoch_D,0.00022985035317337198
Williams_R,0.00022736332005625386
BB_Lower,0.00019467361482240335
CMF,0.00019061588954641693
Stoch_K,0.00017680777950983316
EMA_12,0.00015214561502112207
Close,0.0001504618743873352
High,0.00011880635166482186
SMA_10,0.00010643241553442925
SMA_50,0.00010328814797058311
BB_Upper,8.12216598315632e-05
MACD_Signal,8.077480284387459e-05
MACD,8.054988619996524e-05
Volume,7.615180843653257e-05
OBV,7.562699311621159e-05
ATR,6.185221846012853e-05
Low,5.501647246257861e-05
Open,2.8579631174123107e-05
ROC,2.379350011410494e-05
BB_Middle,1.1391746509774328e-05
RSI,7.104160949859386e-06
