Feature,Importance
Volume,2.1863577698621037e-06
Close,6.664875928516586e-06
SMA_10,7.007396985039437e-06
EMA_12,7.519488986177717e-06
ROC,7.620051151954303e-06
BB_Lower,7.774529465243435e-06
Open,8.403483213073285e-06
High,8.83178512277245e-06
BB_Middle,9.190799959297241e-06
BB_Upper,9.806685894457119e-06
Low,1.0970350610319382e-05
OBV,1.2409018735322814e-05
EMA_26,1.266797994511017e-05
RSI,1.3075411564743815e-05
SMA_50,1.375050222382467e-05
CMF,1.5071090938886176e-05
ATR,1.64330120050883e-05
MACD,2.6535733837330382e-05
MACD_Signal,2.8174211781520413e-05
Stoch_K,3.478617730723606e-05
Williams_R,3.876688070580744e-05
Stoch_D,3.938071127840034e-05
